id,pole,przed,po,notatka
1997_PL_upamiętnienie_Kamien-Pamiatkowy-na-Placu-Grzybowskim,aktor,,PPS,
1998_PL_upamiętnienie_Kamien-Pamiatkowy-na-Placu-Grzybowskim,aktor,,PPS,
1999_PL_upamiętnienie_Kamien-Pamiatkowy-na-Placu-Grzybowskim,aktor,,PPS,
2000_PL_upamiętnienie_Kamien-Pamiatkowy-na-Placu-Grzybowskim,aktor,,PPS,
2001_PL_upamiętnienie_Kamien-Pamiatkowy-na-Placu-Grzybowskim,aktor,,PPS,
2002_PL_upamiętnienie_Kamien-Pamiatkowy-na-Placu-Grzybowskim,aktor,,PPS,
2003_PL_upamiętnienie_Kamien-Pamiatkowy-na-Placu-Grzybowskim,aktor,,PPS,
2004_PL_upamiętnienie_Kamien-Pamiatkowy-na-Placu-Grzybowskim,aktor,,PPS,
2005_PL_upamiętnienie_Kamien-Pamiatkowy-na-Placu-Grzybowskim,aktor,,PPS,"pochód NL Ikonowicza kończy się na placu Grzybowskim pod kamieniem, tam jest wieniec i flagi PPS (youtube)"
2006_PL_upamiętnienie_Kamien-Pamiatkowy-na-Placu-Grzybowskim,aktor,,PPS,"delegacje SLD i OPZZ składają kwiaty (NTP), pochód NL zakończył się złożeniem kwiatów (lewica.pl)"
2007_PL_upamiętnienie_Kamien-Pamiatkowy-na-Placu-Grzybowskim,aktor,,PPS,"""PPS i weterani lewicy składają kwiaty. (PS)  Z nimi kwiaty składali reprezentanci kilku różnych partii, min SLD SdPL i UP (DT), Drugie składanie kwiatów – Manifestanci (ok. 300 osób m. in. z Nowej Lewicy, Komunistycznej Partii Polski, Polskiej Partii Socjalistycznej, Pracowniczej Demokracji, Młodych Socjalistów) pod hasłami obrony świata pracy przed kapitalistycznym wyzyskiem przemaszerowali przez Śródmieście, skandowali hasła antywojenne i krytykowali politykę PiS (""""Kodeks pracy, a nie kodeks karny"""", """"Zdrowie prawem, nie towarem!"""") by w końcu na Placu Grzybowskim złożyć hołd bojowcom PPS poległym w walce z caratem (lewica.pl)"""
2008_PL_upamiętnienie_Kamien-Pamiatkowy-na-Placu-Grzybowskim,aktor,,PPS,
2009_PL_upamiętnienie_Kamien-Pamiatkowy-na-Placu-Grzybowskim,aktor,,PPS,
2011_PL_upamiętnienie_Kamien-Pamiatkowy-na-Placu-Grzybowskim,aktor,,PPS,
2012_PL_upamiętnienie_Kamien-Pamiatkowy-na-Placu-Grzybowskim,aktor,,PPS,
2013_PL_upamiętnienie_Kamien-Pamiatkowy-na-Placu-Grzybowskim,aktor,,PPS,
2014_PL_upamiętnienie_Kamien-Pamiatkowy-na-Placu-Grzybowskim,aktor,,PPS,
2015_PL_upamiętnienie_Kamien-Pamiatkowy-na-Placu-Grzybowskim,aktor,,PPS,
2016_PL_upamiętnienie_Kamien-Pamiatkowy-na-Placu-Grzybowskim,aktor,,PPS,
2017_PL_upamiętnienie_Kamien-Pamiatkowy-na-Placu-Grzybowskim,aktor,,PPS,
2018_PL_upamiętnienie_Kamien-Pamiatkowy-na-Placu-Grzybowskim,aktor,,PPS,
2019_PL_upamiętnienie_Kamien-Pamiatkowy-na-Placu-Grzybowskim,aktor,,PPS,"3 osobne ceremonie upamiętniające: 1. składanie kwiatów przez marsz lewicy radykalnej; nastepnie delegacje PPS, OPZZ i SLD; potem przdestawiciele partii Razem"
1990_PL_upamiętnienie_Monument-to-the-Heroes-of-Warsaw-Nike-Te,aktor,,OPZZ_SdRP,
1991_PL_upamiętnienie_Monument-to-the-Heroes-of-Warsaw-Nike-Te,aktor,,OPZZ_SdRP,
1992_PL_upamiętnienie_Monument-to-the-Heroes-of-Warsaw-Nike-Te,aktor,,OPZZ_SdRP,
1993_PL_upamiętnienie_Monument-to-the-Heroes-of-Warsaw-Nike-Te,aktor,,OPZZ_SdRP,
1994_PL_upamiętnienie_Monument-to-the-Heroes-of-Warsaw-Nike-Te,aktor,,OPZZ_SdRP,
1995_PL_upamiętnienie_Monument-to-the-Heroes-of-Warsaw-Nike-Te,aktor,,OPZZ_SdRP,
2019_PL_upamiętnienie_Pomnik-Ignacego-Daszynskiego-w-Warszawie,aktor,,SLD,
1997_PL_upamiętnienie_Pomnik-Jozefa-Pi-sudskiego,aktor,,PPS,
1994_PL_upamiętnienie_Pomnik-Kopernika,aktor,,PPS,
1994_PL_upamiętnienie_Pomnik-Kopernika,typ,upamiętnienie,wiec,
1996_PL_upamiętnienie_Pomnik-Kopernika,aktor,,PPS,
1996_PL_upamiętnienie_Pomnik-Kopernika,typ,upamiętnienie,wiec,
2000_PL_upamiętnienie_Pomnik-Kopernika,aktor,,PPS,
2000_PL_upamiętnienie_Pomnik-Kopernika,typ,upamiętnienie,wiec,
2012_PL_demonstracja_NIEZNANY,aktor,,KSS Ikonowicza,
1990_PL_demonstracja_PPS,aktor,PPS,PPS-RD/PPS-TKK/Anarchist,
2002_PL_demonstracja_NIEZNANY,aktor,,PPS,
2003_PL_demonstracja_NIEZNANY,aktor,,Nowa Lewica + Inicjatywa Stop Wojnie,
2003_PL_demonstracja_NIEZNANY_a,aktor,,Inicjatywa Stop Wojnie,
2004_PL_demonstracja_NIEZNANY,aktor,,Nowa Lewica,
2005_PL_demonstracja_NIEZNANY,aktor,,Nowa Lewica,
2006_PL_demonstracja_NIEZNANY,aktor,,Nowa Lewica,
2007_PL_demonstracja_NIEZNANY,aktor,,Nowa Lewica,
2008_PL_demonstracja_NIEZNANY,aktor,,Nowa Lewica,
2009_PL_demonstracja_NIEZNANY,aktor,,Nowa Lewica,
2010_PL_demonstracja_NIEZNANY,aktor,,Nowa Lewica,
2011_PL_demonstracja_NIEZNANY,aktor,,KSS Ikonowicza,
2013_PL_demonstracja_NIEZNANY,aktor,,KSS Ikonowicza,
2014_PL_demonstracja_NIEZNANY,aktor,,RSS Ikonowicza,
2015_PL_demonstracja_NIEZNANY,aktor,,RSS Ikonowicza,
2015_PL_demonstracja_NIEZNANY_a,aktor,,Zmiana,
2016_PL_demonstracja_NIEZNANY,aktor,,RSS / KPP / Partia Socjaliści / WSL,
2017_PL_demonstracja_NIEZNANY,aktor,,RSS / KPP / Partia Socjaliści / WSL,
2018_PL_demonstracja_NIEZNANY,aktor,,RSS / KPP / Partia Socjaliści / WSL,
2018_PL_demonstracja_NIEZNANY_a,aktor,,Feministki,typ mieszany: również trochę festyn i happening
2018_PL_demonstracja_NIEZNANY_a,typ,demonstracja,wiec,typ mieszany: również trochę festyn i happening
2019_PL_demonstracja_NIEZNANY,aktor,,Lewica_radykalna,
2008_PL_demonstracja_NIEZNANY_a,aktor,,Lewica_radykalna,
2008_PL_demonstracja_NIEZNANY_a,typ,demonstracja,wiec,
2009_PL_demonstracja_NIEZNANY_a,aktor,,Lewica_radykalna,
