rok,pl_liczba_wydarzen,pl_typy,pl_liczba_demonstracji,pl_liczba_upamietnien,pl_liczba_festynow,pl_czy_kontra,pl_demonstracje_piesze,pl_korso,pl_liczba_rewolucyjnych,pl_marsz_gwiazdzisty,pl_liczba_zwiazkowych,pl_liczba_prawicowych,pl_liczba_kontra,pl_liczba_wiecow,pl_liczba_happeningow,pl_liczba_spotkan,pl_liczba_koncertow,pl_liczba_poza_centrum,pl_liczba_dzielnicowych,pl_serie_dzielnicowe_czynne,pl_dzielnicowe_kronika,pl_frekwencja_suma,pl_frekwencja_maj1,pl_frekwencja_walpurgis,pl_frekwencja_npd_kontra,pl_frekwencja_zwiazkowa,pl_udzial_zwiazkowy,pl_liczba_aktorow,pl_aktorzy_nowi,pl_aktorzy_znikajacy,pl_wydarzenia_nowe,pl_wydarzenia_znikajace,pl_miejsce_wiecu,pl_miejsce_wiecu_zmienione,pl_trasa_glowna_zmieniona,pl_notatka,pl_frekwencja_anarchi,pl_frekwencja_fest_eu,pl_frekwencja_lew_alt,pl_frekwencja_opzz,pl_frekwencja_parada,pl_frekwencja_pps,pl_frekwencja_prawica,de_liczba_wydarzen,de_typy,de_liczba_demonstracji,de_liczba_upamietnien,de_liczba_festynow,de_czy_kontra,de_demonstracje_piesze,de_korso,de_liczba_rewolucyjnych,de_marsz_gwiazdzisty,de_liczba_zwiazkowych,de_liczba_prawicowych,de_liczba_kontra,de_liczba_wiecow,de_liczba_happeningow,de_liczba_spotkan,de_liczba_koncertow,de_liczba_poza_centrum,de_liczba_dzielnicowych,de_serie_dzielnicowe_czynne,de_dzielnicowe_kronika,de_frekwencja_suma,de_frekwencja_maj1,de_frekwencja_walpurgis,de_frekwencja_npd_kontra,de_frekwencja_zwiazkowa,de_udzial_zwiazkowy,de_liczba_aktorow,de_aktorzy_nowi,de_aktorzy_znikajacy,de_wydarzenia_nowe,de_wydarzenia_znikajace,de_miejsce_wiecu,de_miejsce_wiecu_zmienione,de_trasa_glowna_zmieniona,de_notatka,de_frekwencja_antinazi,de_frekwencja_dgb,de_frekwencja_euro,de_frekwencja_marian,de_frekwencja_myfest,de_frekwencja_nazi,de_frekwencja_pds_a,de_frekwencja_pds_u,de_frekwencja_revo13,de_frekwencja_revo18,de_frekwencja_revo_j,de_frekwencja_repo,de_policja_sily,de_ranni_policjanci,de_zatrzymania_1maja,de_zatrzymania_walpurgis,de_zatrzymania_kontra
1998,10,demonstracja:3;festyn:1;happening:1;kontra:1;upamiętnienie:4,3,4,1,TRUE,2,0,0,,2,1,1,0,1,0,0,3,0,,0,4150,4150,,,4000,0.964,8,Młodzi demokraci;SLD_OPZZ;Solidarność,Liga Republikańska;SLD;UP,1998_PL_demonstracja_Solidarnosc;1998_PL_happening_M-odzi-demokraci-Niebieska-Alternatywa-Kapitalizm-jest-li;1998_PL_upamiętnienie_SLD-OPZZ-Brama-Stracen,1997_PL_festyn_UP;1997_PL_kontra_Liga-Republikanska-point;1997_PL_upamiętnienie_SLD-Brama-Stracen,plac Grzybowski,FALSE,,obsidian://open?vault=Wszystko&file=1998_PL,,,,4000,,150,,13,demonstracja:9;festyn:3;wiec:1,9,0,3,FALSE,6,0,4,FALSE,4,0,0,1,0,0,0,7,1,7,4,30292,30292,,,13875,0.458,7,Volkssolidarität,DAG;Obdachlose Initativen,1998_DE_festyn_Volkssolidaritat,1997_DE_festyn_DAG;1997_DE_wiec_Obdachlose-Initativen-Obdachlose-Iniativen-Treffe,Rotes Rathaus,FALSE,,obsidian://open?vault=Wszystko&file=1998_DE,,13875,,1500,,,6500,,1750,6667,,8417,5000,145,379,28,0
1999,9,demonstracja:2;festyn:1;kontra:2;upamiętnienie:4,2,4,1,TRUE,2,0,0,FALSE,1,2,2,0,0,0,0,2,0,,0,9350,9350,,,9200,0.984,7,Liga Republikańska,Młodzi demokraci;Solidarność,1999_PL_kontra_Liga-Republikanska,1998_PL_demonstracja_Solidarnosc;1998_PL_happening_M-odzi-demokraci-Niebieska-Alternatywa-Kapitalizm-jest-li,plac Grzybowski,FALSE,,obsidian://open?vault=Wszystko&file=1999_PL,,,,9200,,150,,14,demonstracja:9;festyn:3;wiec:2,9,0,3,FALSE,7,0,4,TRUE,4,0,0,2,0,0,0,9,0,6,2,35900,35900,,,10400,0.29,6,,Volkssolidarität,1999_DE_festyn_Walpurgisnacht-Walpurginsnacht;1999_DE_wiec_Walpurgisnacht-Helmholtzplatz-Walpurgisnacht-Kundgebung,1998_DE_festyn_Volkssolidaritat,Rotes Rathaus,FALSE,,obsidian://open?vault=Wszystko&file=1999_DE,,10400,,,,,10000,,1500,14000,,15500,5000,139,127,6,0
2000,10,demonstracja:2;festyn:1;happening:1;kontra:1;upamiętnienie:4;wiec:1,2,4,1,TRUE,2,0,0,FALSE,1,2,2,1,1,0,0,2,0,,0,2450,2400,,50,2250,0.918,7,,,2000_PL_happening_Liga-Republikanska;2000_PL_wiec_PPS-Pomnik-Kopernika,1999_PL_kontra_Liga-Republikanska,plac Grzybowski,FALSE,TRUE,obsidian://open?vault=Wszystko&file=2000_PL,,,,2250,,150,50,25,demonstracja:9;festyn:13;korso:1;upamiętnienie:1;wiec:1,9,1,13,FALSE,7,1,3,FALSE,6,3,3,1,0,0,0,19,9,7,1,45667,34667,,11000,11167,0.245,9,BVV Marzahn;NPD;PDS_Antinazi,,2000_DE_demonstracja_NPD-linestring;2000_DE_festyn_BVV-Marzahn;2000_DE_festyn_PDS-Antinazi;2000_DE_korso_DGB,1999_DE_festyn_Walpurgisnacht-Walpurginsnacht;1999_DE_wiec_Walpurgisnacht-Helmholtzplatz-Walpurgisnacht-Kundgebung,Rotes Rathaus,FALSE,,obsidian://open?vault=Wszystko&file=2000_DE,10000,11167,,5000,,1000,3667,,1500,13333,,14833,6765,283,144,57,200
2001,9,demonstracja:4;festyn:1;kontra:1;upamiętnienie:3,4,3,1,TRUE,4,0,0,FALSE,1,1,1,0,0,0,0,1,0,,0,8150,8150,,,7500,0.92,7,Anarchiści;Parada Równości,Liga Republikańska;SLD_OPZZ,2001_PL_demonstracja_Anarchisci;2001_PL_demonstracja_Parada-Rownosci,2000_PL_happening_Liga-Republikanska;2000_PL_upamiętnienie_SLD-OPZZ-Brama-Stracen;2000_PL_wiec_PPS-Pomnik-Kopernika,plac Grzybowski,FALSE,FALSE,obsidian://open?vault=Wszystko&file=2001_PL,300,,,7500,200,150,,19,demonstracja:12;festyn:5;wiec:2,12,0,5,FALSE,8,0,6,TRUE,5,1,1,2,0,0,0,12,0,4,1,37408,36833,,575,16833,0.45,7,,BVV Marzahn;PDS_Antinazi,2001_DE_festyn_Walpurgisnacht-Walpurgisnacht-Spontane-Street-Party;2001_DE_wiec_Walpurgisnacht-Antikapitalistische-Walpurgisnacht,2000_DE_festyn_BVV-Marzahn;2000_DE_festyn_PDS-Antinazi;2000_DE_korso_DGB,Rotes Rathaus,FALSE,,obsidian://open?vault=Wszystko&file=2001_DE,475,16833,,5000,,100,7250,,2250,5500,,7750,9000,166,616,40,0
2002,8,demonstracja:3;festyn:1;kontra:2;upamiętnienie:2,3,2,1,TRUE,3,0,0,FALSE,1,2,2,0,0,0,0,1,0,,0,3800,3800,,,2100,0.553,7,"KPN;Koliber, Młodzież Wszechpolska, Organizacja Młodej Polski",Anarchiści;Prawica,2002_PL_kontra_KPN;2002_PL_kontra_Koliber-M-odziez-Wszechpolska-Organizacja-M-odej-Polski,2001_PL_demonstracja_Anarchisci;2001_PL_kontra_Prawica,Sejm RP,TRUE,TRUE,obsidian://open?vault=Wszystko&file=2002_PL,,,200,2100,1500,,,14,demonstracja:5;festyn:3;happening:1;kontra:3;wiec:2,5,0,3,TRUE,5,0,3,FALSE,3,4,4,2,1,0,0,8,0,4,0,30950,29250,,1700,13500,0.436,7,Antinazi Berlin;KPD/RZ,IG Metall;ÖTV,2002_DE_happening_KPD-RZ-KPD-RZ;2002_DE_kontra_Antinazi-Berlin,2001_DE_demonstracja_IG-Metall;2001_DE_demonstracja_OTV;2001_DE_demonstracja_Walpurgisnacht-Walpurgisnacht-Frauendemo-Wir-erobern-un;2001_DE_festyn_Walpurgisnacht-Walpurgisnacht-Spontane-Street-Party,Rotes Rathaus,FALSE,,obsidian://open?vault=Wszystko&file=2002_DE,1000,13500,,,,700,2250,,4000,9500,,13500,5000,101,183,34,0
2003,9,demonstracja:5;festyn:1;kontra:1;upamiętnienie:2,5,2,1,TRUE,5,0,0,FALSE,1,1,1,0,0,0,0,1,0,,0,7633,7633,,,3333,0.437,9,Anarchiści;Inicjatywa Stop Wojnie;Nowa Lewica + Inicjatywa Stop Wojnie;Prawica,"KPN;Koliber, Młodzież Wszechpolska, Organizacja Młodej Polski",2003_PL_demonstracja_Anarchisci;2003_PL_demonstracja_Inicjatywa-Stop-Wojnie;2003_PL_demonstracja_Nowa-Lewica-Inicjatywa-Stop-Wojnie;2003_PL_kontra_Prawica,2002_PL_demonstracja_PPS;2002_PL_kontra_KPN;2002_PL_kontra_Koliber-M-odziez-Wszechpolska-Organizacja-M-odej-Polski,Sejm RP,FALSE,TRUE,obsidian://open?vault=Wszystko&file=2003_PL,300,,500,3333,3500,,,11,demonstracja:4;festyn:4;kontra:1;korso:1;wiec:1,4,0,4,TRUE,4,1,2,FALSE,4,2,2,1,0,0,0,5,0,4,3,45675,43750,,1925,13500,0.296,7,MyFest,KPD/RZ,2003_DE_festyn_MyFest-MyFest;2003_DE_korso_DGB,2002_DE_happening_KPD-RZ-KPD-RZ;2002_DE_wiec_PDS,Rotes Rathaus,FALSE,,obsidian://open?vault=Wszystko&file=2003_DE,250,13500,,,20000,1675,,,6750,3500,,10250,7500,178,185,51,0
2004,6,demonstracja:3;festyn:1;upamiętnienie:2,3,2,1,FALSE,3,0,0,FALSE,1,1,0,0,0,0,0,1,0,,0,2867,867,,2000,667,0.233,6,LPR;Nowa Lewica,Anarchiści;Inicjatywa Stop Wojnie;Nowa Lewica + Inicjatywa Stop Wojnie;Parada Równości;Prawica,2004_PL_demonstracja_LPR;2004_PL_demonstracja_Nowa-Lewica,2003_PL_demonstracja_Anarchisci;2003_PL_demonstracja_Inicjatywa-Stop-Wojnie;2003_PL_demonstracja_Nowa-Lewica-Inicjatywa-Stop-Wojnie;2003_PL_demonstracja_Parada-Rownosci;2003_PL_kontra_Prawica,Sejm RP,FALSE,TRUE,obsidian://open?vault=Wszystko&file=2004_PL,,,200,667,,,2000,11,demonstracja:7;festyn:2;kontra:1;wiec:1,7,0,2,TRUE,7,0,3,FALSE,3,2,2,1,0,0,0,5,0,4,7,62700,57000,,5700,18500,0.295,6,,PDS,2004_DE_demonstracja_Walpurgisnacht-Kommunismus-statt-Europa,2003_DE_festyn_PDS;2003_DE_korso_DGB,Rotes Rathaus,FALSE,,obsidian://open?vault=Wszystko&file=2004_DE,3400,18500,,,30000,2300,,,5000,3500,,8500,8000,187,162,114,72
2005,7,demonstracja:2;festyn:2;upamiętnienie:3,2,3,2,FALSE,2,0,0,FALSE,1,0,0,0,0,0,0,1,0,,0,933,933,,,633,0.678,6,Lewica_radykalna,LPR,2005_PL_festyn_Lewica-radykalna,2004_PL_demonstracja_LPR,Sejm RP,FALSE,TRUE,obsidian://open?vault=Wszystko&file=2005_PL,,,300,633,,,,18,demonstracja:7;festyn:7;korso:2;wiec:2,7,0,7,FALSE,7,2,3,FALSE,5,0,0,2,0,0,0,12,5,5,4,26000,26000,,,10500,0.404,6,FAU;PDS,Antinazi Berlin;NPD,2005_DE_demonstracja_FAU-FAU-Du-Hast-eine-Wurde-Verteidige-Sie;2005_DE_festyn_PDS-hohenschonhausen;2005_DE_korso_DGB-mitte,2004_DE_demonstracja_NPD;2004_DE_kontra_Antinazi-Berlin,Rotes Rathaus,FALSE,,obsidian://open?vault=Wszystko&file=2005_DE,,10500,,,15000,,,,500,0,,500,6150,32,123,70,0
2006,5,demonstracja:2;upamiętnienie:3,2,3,0,FALSE,2,0,0,FALSE,1,0,0,0,0,0,0,1,0,,0,2000,2000,,,1750,0.875,4,SLD_OPZZ,Lewica_radykalna;PPS;Prezydent,2006_PL_upamiętnienie_Nowa-Lewica-Kamien-Pamiatkowy-na-Placu-Grzybowskim;2006_PL_upamiętnienie_SLD-OPZZ-Kamien-Pamiatkowy-na-Placu-Grzybowskim,2005_PL_festyn_Lewica-radykalna;2005_PL_festyn_Prezydent;2005_PL_upamiętnienie_PPS-Kamien-Pamiatkowy-na-Placu-Grzybowskim,Sejm RP,FALSE,TRUE,obsidian://open?vault=Wszystko&file=2006_PL,,,250,1750,,,,13,demonstracja:6;festyn:2;korso:4;wiec:1,6,0,2,FALSE,5,4,3,FALSE,6,0,0,1,0,0,0,10,0,5,0,28550,28550,,,13500,0.473,6,EuroMayDay;Jungen Liberalen,FAU;PDS,2006_DE_demonstracja_EuroMayDay;2006_DE_demonstracja_Jungen-Liberalen-Jungen-Liberalen-Protest,2005_DE_demonstracja_FAU-FAU-Du-Hast-eine-Wurde-Verteidige-Sie;2005_DE_demonstracja_Walpurgisnacht-Berlin-protestiert-friedlich-Fur-friedli;2005_DE_festyn_PDS-hohenschonhausen,Brandenburger Tor,TRUE,,obsidian://open?vault=Wszystko&file=2006_DE,,13500,4000,,11000,,,,50,0,,50,5101,66,107,72,0
2007,10,demonstracja:4;festyn:1;happening:1;kontra:1;upamiętnienie:3,4,3,1,TRUE,3,0,0,FALSE,2,2,2,0,1,0,0,2,0,,0,1780,1780,,,1400,0.787,9,Anarchiści;Forum Liberalne;LPR;Lewica radykalna;PPS;Solidarność,SLD_OPZZ,2007_PL_demonstracja_Anarchisci;2007_PL_demonstracja_Solidarnosc;2007_PL_happening_Forum-Liberalne;2007_PL_kontra_LPR;2007_PL_upamiętnienie_Lewica-radykalna-Kamien-Pamiatkowy-na-Placu-Grzybowskim;2007_PL_upamiętnienie_PPS-Kamien-Pamiatkowy-na-Placu-Grzybowskim,2006_PL_upamiętnienie_Nowa-Lewica-Kamien-Pamiatkowy-na-Placu-Grzybowskim;2006_PL_upamiętnienie_SLD-OPZZ-Kamien-Pamiatkowy-na-Placu-Grzybowskim,Sejm RP,FALSE,TRUE,obsidian://open?vault=Wszystko&file=2007_PL,80,,300,1400,,,,12,demonstracja:5;festyn:2;korso:4;wiec:1,5,0,2,FALSE,5,4,2,FALSE,6,0,0,1,0,0,0,9,0,5,0,42067,42067,,,10500,0.25,5,,Jungen Liberalen,2007_DE_demonstracja_Walpurgisnacht-Walpurgisnacht-Demo,2006_DE_demonstracja_Jungen-Liberalen-Jungen-Liberalen-Protest,Brandenburger Tor,FALSE,,obsidian://open?vault=Wszystko&file=2007_DE,,10500,7000,,16000,,,,900,7667,,8567,4724,90,115,119,0
