rok,pl_liczba_wydarzen,pl_typy,pl_liczba_demonstracji,pl_liczba_upamietnien,pl_liczba_festynow,pl_czy_kontra,pl_demonstracje_piesze,pl_korso,pl_liczba_rewolucyjnych,pl_marsz_gwiazdzisty,pl_liczba_zwiazkowych,pl_liczba_prawicowych,pl_liczba_kontra,pl_liczba_wiecow,pl_liczba_happeningow,pl_liczba_spotkan,pl_liczba_koncertow,pl_liczba_poza_centrum,pl_liczba_dzielnicowych,pl_serie_dzielnicowe_czynne,pl_dzielnicowe_kronika,pl_frekwencja_suma,pl_frekwencja_maj1,pl_frekwencja_walpurgis,pl_frekwencja_npd_kontra,pl_frekwencja_zwiazkowa,pl_udzial_zwiazkowy,pl_liczba_aktorow,pl_aktorzy_nowi,pl_aktorzy_znikajacy,pl_wydarzenia_nowe,pl_wydarzenia_znikajace,pl_miejsce_wiecu,pl_miejsce_wiecu_zmienione,pl_trasa_glowna_zmieniona,pl_notatka,pl_frekwencja_anarchi,pl_frekwencja_fest_eu,pl_frekwencja_lew_alt,pl_frekwencja_opzz,pl_frekwencja_parada,pl_frekwencja_pps,pl_frekwencja_prawica,de_liczba_wydarzen,de_typy,de_liczba_demonstracji,de_liczba_upamietnien,de_liczba_festynow,de_czy_kontra,de_demonstracje_piesze,de_korso,de_liczba_rewolucyjnych,de_marsz_gwiazdzisty,de_liczba_zwiazkowych,de_liczba_prawicowych,de_liczba_kontra,de_liczba_wiecow,de_liczba_happeningow,de_liczba_spotkan,de_liczba_koncertow,de_liczba_poza_centrum,de_liczba_dzielnicowych,de_serie_dzielnicowe_czynne,de_dzielnicowe_kronika,de_frekwencja_suma,de_frekwencja_maj1,de_frekwencja_walpurgis,de_frekwencja_npd_kontra,de_frekwencja_zwiazkowa,de_udzial_zwiazkowy,de_liczba_aktorow,de_aktorzy_nowi,de_aktorzy_znikajacy,de_wydarzenia_nowe,de_wydarzenia_znikajace,de_miejsce_wiecu,de_miejsce_wiecu_zmienione,de_trasa_glowna_zmieniona,de_notatka,de_frekwencja_antinazi,de_frekwencja_dgb,de_frekwencja_euro,de_frekwencja_marian,de_frekwencja_myfest,de_frekwencja_nazi,de_frekwencja_pds_a,de_frekwencja_pds_u,de_frekwencja_revo13,de_frekwencja_revo18,de_frekwencja_revo_j,de_frekwencja_repo,de_policja_sily,de_ranni_policjanci,de_zatrzymania_1maja,de_zatrzymania_walpurgis,de_zatrzymania_kontra
2008,8,demonstracja:3;festyn:1;upamiętnienie:3;wiec:1,3,3,1,FALSE,3,0,0,FALSE,1,0,0,1,0,0,0,2,0,,0,2567,2567,,,2167,0.844,6,Lewica_radykalna,Forum Liberalne;LPR;Lewica radykalna;Solidarność,2008_PL_wiec_Lewica-radykalna,2007_PL_demonstracja_Solidarnosc;2007_PL_happening_Forum-Liberalne;2007_PL_kontra_LPR;2007_PL_upamiętnienie_Lewica-radykalna-Kamien-Pamiatkowy-na-Placu-Grzybowskim,Sejm RP,FALSE,TRUE,obsidian://open?vault=Wszystko&file=2008_PL,200,,200,2167,,,,9,demonstracja:4;festyn:2;korso:2;wiec:1,4,0,2,FALSE,4,2,2,FALSE,4,0,0,1,0,0,0,6,0,5,16,46925,46925,,,9125,0.194,5,,,,2007_DE_demonstracja_Walpurgisnacht-Walpurgisnacht-Demo,Brandenburger Tor,FALSE,,obsidian://open?vault=Wszystko&file=2008_DE,,9125,6500,,20000,,,,300,11000,,11300,4572,112,139,24,0
2009,9,demonstracja:3;kontra:2;upamiętnienie:3;wiec:1,3,3,0,TRUE,3,0,0,FALSE,1,2,2,1,0,0,0,4,0,,0,1703,1697,,6,1357,0.797,8,Falanga;ONR,,2009_PL_kontra_Falanga;2009_PL_kontra_ONR,,Sejm RP,FALSE,TRUE,obsidian://open?vault=Wszystko&file=2009_PL,40,,300,1357,,,6,12,demonstracja:4;festyn:3;kontra:1;korso:3;wiec:1,4,0,3,TRUE,4,3,2,FALSE,5,2,2,1,0,0,0,8,0,5,2,64500,60800,,3700,13500,0.209,7,Antinazi Berlin_SPD;NPD,,2009_DE_festyn_NPD;2009_DE_kontra_Antinazi-Berlin-SPD,,Brandenburger Tor,FALSE,,obsidian://open?vault=Wszystko&file=2009_DE,3500,13500,3500,,35000,200,,,300,8500,,8800,5761,479,289,57,0
2010,4,demonstracja:2;upamiętnienie:2,2,2,0,FALSE,2,0,0,FALSE,1,0,0,0,0,0,0,1,0,,0,590,590,,,440,0.746,4,,Anarchiści;Falanga;Lewica_radykalna;ONR,,2009_PL_demonstracja_Anarchisci;2009_PL_kontra_Falanga;2009_PL_kontra_ONR;2009_PL_wiec_Lewica-radykalna,Sejm RP,FALSE,FALSE,obsidian://open?vault=Wszystko&file=2010_PL,,,150,440,,,,14,demonstracja:7;festyn:2;kontra:2;korso:2;wiec:1,7,0,2,TRUE,5,2,2,FALSE,4,6,6,1,0,0,0,10,0,5,0,62000,51300,,10700,9750,0.157,6,Antinazi Berlin,Antinazi Berlin_SPD;EuroMayDay,2010_DE_demonstracja_Antinazi-Berlin;2010_DE_demonstracja_NPD-gesundbrunnen;2010_DE_kontra_Antinazi-Berlin-niederschoneweide,2009_DE_demonstracja_EuroMayDay;2009_DE_festyn_NPD;2009_DE_kontra_Antinazi-Berlin-SPD,Brandenburger Tor,FALSE,,obsidian://open?vault=Wszystko&file=2010_DE,10000,9750,,,29000,700,,,50,12500,,12550,7400,98,161,37,289
2011,7,demonstracja:1;upamiętnienie:4;wiec:2,1,4,0,FALSE,1,0,0,FALSE,1,0,0,2,0,0,0,1,0,,0,283,283,,,133,0.47,5,KSS Ikonowicza;Marsz Pustych Garnkow,Nowa Lewica,2011_PL_demonstracja_KSS-Ikonowicza;2011_PL_upamiętnienie_Marsz-Pustych-Garnkow-Wreath-laying-at-the-historic-PPS-headqu;2011_PL_wiec_OPZZ,2010_PL_demonstracja_Nowa-Lewica;2010_PL_demonstracja_OPZZ,Wiec pod OPZZ,TRUE,TRUE,obsidian://open?vault=Wszystko&file=2011_PL,,,150,133,,,,11,demonstracja:5;festyn:3;korso:3,5,0,3,FALSE,5,3,2,FALSE,5,0,0,0,0,0,0,6,0,5,0,49833,49833,,,11500,0.231,5,FAU,Antinazi Berlin;NPD,2011_DE_demonstracja_FAU-FAU-Spaziergang-gegen-Leiharbeit;2011_DE_demonstracja_Walpurgisnacht-Walpurgisnacht-Wir-Bleiben-Alle;2011_DE_festyn_Walpurgisnacht-Antikapitalistische-Walpurgisnacht-Fest-,2010_DE_demonstracja_Antinazi-Berlin;2010_DE_demonstracja_NPD-gesundbrunnen;2010_DE_kontra_Antinazi-Berlin-niederschoneweide;2010_DE_wiec_Walpurgisnacht-Antikapitalistische-Walpurgisnacht,Brandenburger Tor,FALSE,,obsidian://open?vault=Wszystko&file=2011_DE,,11500,,,27000,,,,,11333,,11333,7400,75,103,58,0
2012,7,demonstracja:4;spotkanie:1;upamiętnienie:2,4,2,0,FALSE,4,0,0,FALSE,1,1,0,0,0,1,0,2,0,,0,12400,11900,,500,11750,0.948,7,Anarchiści;Autonomiczni nacjonaliści;Ruch Palikota,Marsz Pustych Garnkow,2012_PL_demonstracja_Anarchisci;2012_PL_demonstracja_Autonomiczni-nacjonalisci;2012_PL_demonstracja_OPZZ;2012_PL_spotkanie_Ruch-Palikota-Kongres-za-ozycielski-partii-Palikota-Ko,2011_PL_upamiętnienie_Marsz-Pustych-Garnkow-Wreath-laying-at-the-historic-PPS-headqu;2011_PL_wiec_OPZZ,Park Rydza-Śmigłego,TRUE,TRUE,obsidian://open?vault=Wszystko&file=2012_PL,150,,,11750,,,500,8,demonstracja:4;festyn:2;korso:2,4,0,2,FALSE,4,2,2,FALSE,4,0,0,0,0,0,0,2,0,5,0,60625,60625,,,12625,0.208,4,,FAU,,2011_DE_demonstracja_FAU-FAU-Spaziergang-gegen-Leiharbeit;2011_DE_festyn_Walpurgisnacht-Antikapitalistische-Walpurgisnacht-Fest-,Brandenburger Tor,FALSE,,obsidian://open?vault=Wszystko&file=2012_DE,,12625,,,29500,,,,,18500,,18500,7000,124,119,4,0
2013,7,demonstracja:3;festyn:1;upamiętnienie:3,3,3,1,FALSE,3,0,0,FALSE,1,1,0,0,0,0,0,3,0,,0,20700,20200,,500,20000,0.966,6,Prezydent,Anarchiści;Ruch Palikota,2013_PL_festyn_Prezydent,2012_PL_demonstracja_Anarchisci;2012_PL_spotkanie_Ruch-Palikota-Kongres-za-ozycielski-partii-Palikota-Ko,Park Rydza-Śmigłego,FALSE,FALSE,obsidian://open?vault=Wszystko&file=2013_PL,,,200,20000,,,500,13,demonstracja:5;festyn:4;kontra:1;korso:2;wiec:1,5,0,4,TRUE,5,2,2,FALSE,4,3,3,1,0,0,0,7,2,5,0,63717,61417,,2300,9750,0.153,7,Antinazi Berlin;Die Linke;NPD,,2013_DE_demonstracja_NPD;2013_DE_festyn_Die-Linke-kopenick;2013_DE_kontra_Antinazi-Berlin;2013_DE_wiec_NPD,,Brandenburger Tor,FALSE,,obsidian://open?vault=Wszystko&file=2013_DE,2000,9750,,,40000,300,,,,11667,,11667,7000,54,74,20,0
2014,9,demonstracja:3;festyn:1;happening:2;upamiętnienie:3,3,3,1,FALSE,3,0,0,FALSE,1,2,0,0,2,0,0,3,0,,0,8183,7733,,450,7333,0.896,8,RSS Ikonowicza;Ruch Narodowy;Zieloni,KSS Ikonowicza,2014_PL_demonstracja_RSS-Ikonowicza;2014_PL_happening_Ruch-Narodowy;2014_PL_happening_Zieloni-Partia-Zieloni-happening,2013_PL_demonstracja_KSS-Ikonowicza,Park Rydza-Śmigłego,FALSE,FALSE,obsidian://open?vault=Wszystko&file=2014_PL,,,400,7333,,,450,9,demonstracja:4;festyn:3;korso:2,4,0,3,FALSE,4,2,2,FALSE,4,0,0,0,0,0,0,2,0,5,0,70667,70667,,,8667,0.123,4,,Antinazi Berlin;Die Linke;NPD,,2013_DE_demonstracja_NPD;2013_DE_festyn_Die-Linke-kopenick;2013_DE_kontra_Antinazi-Berlin;2013_DE_wiec_NPD,Brandenburger Tor,FALSE,,obsidian://open?vault=Wszystko&file=2014_DE,,8667,,,40000,,,,,22000,,22000,6400,59,53,15,0
2015,6,demonstracja:3;festyn:1;upamiętnienie:2,3,2,1,FALSE,3,0,0,FALSE,0,1,0,0,0,0,0,2,0,,0,30700,30450,,250,,0.0,6,Szturmowcy;Zmiana,Autonomiczni nacjonaliści;OPZZ;Ruch Narodowy;Zieloni,2015_PL_demonstracja_Szturmowcy;2015_PL_demonstracja_Zmiana,2014_PL_demonstracja_Autonomiczni-nacjonalisci;2014_PL_demonstracja_OPZZ;2014_PL_happening_Ruch-Narodowy;2014_PL_happening_Zieloni-Partia-Zieloni-happening,,,TRUE,obsidian://open?vault=Wszystko&file=2015_PL,,30000,450,,,,250,13,demonstracja:4;festyn:3;kontra:1;korso:2;wiec:3,4,0,3,TRUE,4,2,2,FALSE,4,3,3,3,0,0,0,6,0,5,0,86050,85500,,550,15000,0.174,6,Antinazi Berlin;NPD,,2015_DE_kontra_Antinazi-Berlin;2015_DE_wiec_NPD-marzahn;2015_DE_wiec_Walpurgisnacht-Walpurgisnacht-in-Gorli,,Brandenburger Tor,FALSE,,obsidian://open?vault=Wszystko&file=2015_DE,500,15000,,,45000,50,,,,25500,,25500,6554,41,45,8,0
2016,6,demonstracja:3;festyn:1;upamiętnienie:2,3,2,1,FALSE,3,0,0,FALSE,1,1,0,0,0,0,0,2,0,,0,4217,4067,,150,3667,0.87,6,Muzeum Łazienki Królewskie;OPZZ;RSS / KPP / Partia Socjaliści / WSL,Prezydent;RSS Ikonowicza;Zmiana,2016_PL_demonstracja_OPZZ;2016_PL_demonstracja_RSS-KPP-Partia-Socjalisci-WSL;2016_PL_festyn_Muzeum-azienki-Krolewskie,2015_PL_demonstracja_RSS-Ikonowicza;2015_PL_demonstracja_Zmiana;2015_PL_festyn_Prezydent,Sejm RP,,TRUE,obsidian://open?vault=Wszystko&file=2016_PL,,,400,3667,,,150,18,demonstracja:6;festyn:3;kontra:5;korso:2;wiec:2,6,0,3,TRUE,5,2,3,FALSE,4,8,8,2,0,0,0,11,0,5,7,61700,60750,,950,14000,0.227,6,,,2016_DE_demonstracja_NPD,2015_DE_wiec_Walpurgisnacht-Walpurgisnacht-in-Gorli,Brandenburger Tor,FALSE,,obsidian://open?vault=Wszystko&file=2016_DE,900,14000,,,30000,50,,,250,16500,,16750,6091,59,42,0,0
2017,7,demonstracja:2;festyn:2;upamiętnienie:3,2,3,2,FALSE,2,0,0,FALSE,1,0,0,0,0,0,0,2,0,,0,1050,1050,,,650,0.619,5,,Szturmowcy,2017_PL_festyn_OPZZ,2016_PL_demonstracja_Szturmowcy,Krakowskie Przedmieście,TRUE,TRUE,obsidian://open?vault=Wszystko&file=2017_PL,,,400,650,,,,21,demonstracja:7;festyn:11;kontra:1;korso:2,7,0,11,TRUE,7,2,4,FALSE,4,3,3,0,0,0,0,13,7,6,3,74900,74250,,650,14000,0.187,8,AfD;Bärgida;Die Linke,NPD,2017_DE_demonstracja_Bargida;2017_DE_festyn_AfD;2017_DE_festyn_Die-Linke-hohenschonhausen,2016_DE_demonstracja_NPD;2016_DE_wiec_NPD-neu-hohenschonhausen,Brandenburger Tor,FALSE,,obsidian://open?vault=Wszystko&file=2017_DE,600,14000,,,45000,50,,,250,15000,,15250,6000,32,114,0,0
2018,9,demonstracja:3;festyn:2;kontra:1;upamiętnienie:2;wiec:1,3,2,2,TRUE,3,0,0,FALSE,1,2,1,1,0,0,0,2,0,,0,1225,1175,,50,775,0.633,8,Feministki;Obywatele RP;Szturmowcy,,2018_PL_demonstracja_Szturmowcy;2018_PL_kontra_Obywatele-RP;2018_PL_wiec_Feministki,,Krakowskie Przedmieście,FALSE,FALSE,obsidian://open?vault=Wszystko&file=2018_PL,,,400,775,,,50,15,demonstracja:4;festyn:9;korso:2,4,0,9,FALSE,4,2,2,FALSE,4,1,1,0,0,0,0,8,5,5,1,74730,74200,,530,9500,0.127,6,,Antinazi Berlin;Bärgida,,2017_DE_demonstracja_Bargida;2017_DE_kontra_Antinazi-Berlin,Brandenburger Tor,FALSE,,obsidian://open?vault=Wszystko&file=2018_DE,500,9500,,,52000,30,,,200,12500,,12700,5170,20,103,0,0
2019,13,demonstracja:3;festyn:4;upamiętnienie:6,3,6,4,FALSE,2,0,0,FALSE,0,2,0,0,0,0,0,2,0,,0,3350,350,,3000,,0.0,11,KORWiN;Lewica radykalna;Lewica_radykalna;Miasto;PPS_OPZZ_SLD;Razem;SLD;SLD/OPZZ;UP_OPZZ,Feministki;OPZZ;Obywatele RP;RSS / KPP / Partia Socjaliści / WSL;Szturmowcy;Unia Pracy,2019_PL_demonstracja_KORWiN;2019_PL_demonstracja_Lewica-radykalna;2019_PL_festyn_Miasto-nowe-miasto;2019_PL_festyn_SLD-OPZZ;2019_PL_upamiętnienie_Lewica-radykalna-Kamien-Pamiatkowy-na-Placu-Grzybowskim;2019_PL_upamiętnienie_PPS-OPZZ-SLD-Kamien-Pamiatkowy-na-Placu-Grzybowskim;2019_PL_upamiętnienie_Razem-Kamien-Pamiatkowy-na-Placu-Grzybowskim;2019_PL_upamiętnienie_SLD-Pomnik-Ignacego-Daszynskiego-w-Warszawie;2019_PL_upamiętnienie_UP-OPZZ-Brama-Stracen,2018_PL_demonstracja_OPZZ;2018_PL_demonstracja_RSS-KPP-Partia-Socjalisci-WSL;2018_PL_demonstracja_Szturmowcy;2018_PL_festyn_OPZZ;2018_PL_kontra_Obywatele-RP;2018_PL_upamiętnienie_Unia-Pracy-Brama-Stracen;2018_PL_wiec_Feministki,,,TRUE,obsidian://open?vault=Wszystko&file=2019_PL,,,350,,,,3000,17,demonstracja:5;festyn:8;korso:2;wiec:2,5,0,8,FALSE,5,2,3,FALSE,4,1,1,2,0,0,0,10,5,5,14,68800,68200,,600,13000,0.189,6,,,2019_DE_wiec_Walpurgisnacht-Weddinger-Walpurgisnacht,,Brandenburger Tor,FALSE,,obsidian://open?vault=Wszystko&file=2019_DE,500,13000,,,45000,100,,,200,10000,,10200,5500,39,150,0,0
