id_bazowy,id
1998_DE_wiec_PDS,1998_DE_wiec_PDS_b
1998_DE_wiec_PDS,1998_DE_wiec_PDS_c
1999_DE_wiec_PDS,1999_DE_wiec_PDS
1999_DE_wiec_PDS,1999_DE_wiec_PDS_a
2000_DE_wiec_PDS,2000_DE_wiec_PDS
2000_DE_wiec_PDS,2000_DE_wiec_PDS_a
2001_DE_wiec_PDS,2001_DE_wiec_PDS
2001_DE_wiec_PDS,2001_DE_wiec_PDS_a
2002_DE_wiec_PDS,2002_DE_wiec_PDS
2002_DE_wiec_PDS,2002_DE_wiec_PDS_a
1992_DE_demonstracja_PDS,1992_DE_demonstracja_PDS
1992_DE_demonstracja_PDS,1992_DE_demonstracja_PDS_a
1992_DE_wiec_PDS,1992_DE_wiec_PDS
1992_DE_wiec_PDS,1992_DE_wiec_PDS_a
1992_DE_wiec_PDS,1992_DE_wiec_PDS_b
1994_DE_demonstracja_FAP,1994_DE_demonstracja_FAP
1994_DE_demonstracja_FAP,1994_DE_demonstracja_FAP_a
2000_DE_demonstracja_NPD,2000_DE_demonstracja_NPD
2000_DE_demonstracja_NPD,2000_DE_demonstracja_NPD_a
2002_DE_demonstracja_NPD,2002_DE_demonstracja_NPD
2002_DE_demonstracja_NPD,2002_DE_demonstracja_NPD_a
2010_DE_demonstracja_NPD,2010_DE_demonstracja_NPD
2010_DE_demonstracja_NPD,2010_DE_demonstracja_NPD_a
2010_DE_demonstracja_NPD,2010_DE_demonstracja_NPD_b
2010_DE_demonstracja_NIEZNANY,2010_DE_demonstracja_NIEZNANY
2010_DE_demonstracja_NIEZNANY,2010_DE_demonstracja_NIEZNANY_a
2010_DE_demonstracja_NIEZNANY,2010_DE_demonstracja_NIEZNANY_b
2013_DE_demonstracja_NPD,2013_DE_demonstracja_NPD
2013_DE_demonstracja_NPD,2013_DE_demonstracja_NPD_a
2015_DE_demonstracja_NPD,2015_DE_demonstracja_NPD
2015_DE_demonstracja_NPD,2015_DE_demonstracja_NPD_a
2015_DE_demonstracja_NPD,2015_DE_demonstracja_NPD_b
2016_DE_demonstracja_NPD,2016_DE_demonstracja_NPD
