nr,rok,dzielnica,nazwa,zrodlo,dokument,trafnosc,cytat
28,1996,Marzahn,Maifete »Rot ist der Mai«,ND 30.04.1996,artykuly_nd.txt,12.0,"ab 13 Uhr bei der Maifete iri Alt-Marzahn. Für die Kinder, stehen Maibaumklettern, Kremserfahrten, Basteln und Spielen auf dem Programm. Für die Größeren signieien Schriftsteller ihre Bücher, gibt es Infostände. Bezirkspolitiker wie Bürgermeister-Harald Buttler und PDS-Fra'itionschef in der BW Norbert Lüdtke sowie Abgeordnete de$ Bezirkes im Berliner Parlament wie Dagmar Pohle und Margit Barth, dazu Margitta Mächtig,"
29,1997,Weißensee,Maifeier der PDS Weißensee,ND 30.04.1997,artykuly_nd.txt,10.0,"14.30-22 Uhr, Herbert-Baum-Straße, und Lichtenberg,"
30,1997,Lichtenberg,Maifeier der PDS Lichtenberg,ND 30.04.1997,artykuly_nd.txt,7.0,"ab 19 Uhr, Kulturhaus Karlshorst. Pankow feiert am 2. und 3. Mai das 7. Nordberliner Früh-Links-Fest in der Schönholzer Heide."
31,1997,Köpenick,Maifest im Luisenhain,ND 30.04.1997,artykuly_nd.txt,9.0,"14-18 Uhr, Luisenhain, Marzahn,"
32,1997,Marzahn,Maifest Alt-Marzahn,ND 30.04.1997,artykuly_nd.txt,10.7,"13-18 Uhr, Alt-Marzahn 64, Hohenschönhausen,"
33,1997,Hohenschönhausen,Maifest im Oberseepark,ND 30.04.1997,artykuly_nd.txt,9.0,"10-17 Uhr, Oberseepark, Hellersdorf,"
34,1997,Hellersdorf,Maifest Boulevard Kastanienallee,ND 30.04.1997,artykuly_nd.txt,10.7,"11-19 Uhr, Boulevard Kastanienallee. Schon am heutigen 30. April feiern die PDS Wei-ßensee,"
35,1998,Hellersdorf,Straßenfest Boulevard Kastanienallee,ND 29.04.1998,artykuly_nd.txt,10.0,"(ND-Dittmann). Zu einem großen Straßenfest auf dem Boulevard Kastanienallee lädt die Volkssolidarität am 1. Mai ein. Der unter dem Motto stehende Aufruf »In wachsender Solidarität der Generationen gemeinsam« wurde von über 50 Vereinen, freien Trägern, Bürgerinitiativen und dem PDS-Bezirksvorstand unterzeichnet. Die meisten beteiligen sich auch an der Organisation des Maifestes."
36,2000,Hellersdorf,Multikulturelles Bündnisfest gegen Rechts,ND 29.04.2000,artykuly_nd.txt,12.0,"20 Uhr multikulturelles Bündnisfest gegen Rechts, Alice-Salomon-Platz, Hellersdorf. Mit Gregor Gysi gegen"
37,2000,Marzahn,Kundgebungen der BVV Marzahn,ND 29.04.2000,artykuly_nd.txt,12.0,"ab 9 Uhr Kundgebungen der BW Mar zahn, Eisenacher Straße, Wittenberger Straße, Marzahner Promenade, S-Bhf. Marzahn, Mehrower Allee, U-Bhf. Biesdorf-Süd"
38,2000,Marzahn,Kundgebungen der PDS Marzahn,ND 29.04.2000,artykuly_nd.txt,14.0,"10-17 Uhr Kundgebungen der PDS Mar zahn, Allee der Kosmonauten, Alt-Mar zahn, Freizeitforum Marzahn, S-Bahnhöfe Biesdorf, Poelchaustraße, Ahrensfelde"
39,2000,Prenzlauer Berg,Bündnisfest auf dem Humannplatz,ND 29.04.2000,artykuly_nd.txt,14.0,"9-24 Uhr Bündnisfest auf dem Humannplatz, Prenzlauer Berg"
40,2000,Prenzlauer Berg,PDS-Fest Bötzowstraße,ND 29.04.2000,artykuly_nd.txt,14.0,"10-20 Uhr PDS-Fest, Bötzowstraße, Prenzlauer Berg"
41,2000,Hohenschönhausen,Bündnisfest Am Obersee,ND 29.04.2000,artykuly_nd.txt,12.0,"18 Uhr Bündnisfest, Am Obersee, Hohenschönhausen"
42,2000,Köpenick,PDS-Mai-Fest im Luisenhain,ND 29.04.2000,artykuly_nd.txt,14.0,"13-18 Uhr PDS-Mai-Fest, Luisenhain, Köpenick"
