rok,liczba_wydarzen,typy,liczba_demonstracji,liczba_upamietnien,liczba_festynow,czy_kontra,demonstracje_piesze,korso,liczba_rewolucyjnych,marsz_gwiazdzisty,liczba_zwiazkowych,liczba_prawicowych,liczba_kontra,liczba_wiecow,liczba_happeningow,liczba_spotkan,liczba_koncertow,liczba_poza_centrum,liczba_dzielnicowych,serie_dzielnicowe_czynne,dzielnicowe_kronika,frekwencja_suma,frekwencja_maj1,frekwencja_walpurgis,frekwencja_npd_kontra,frekwencja_zwiazkowa,udzial_zwiazkowy,liczba_aktorow,aktorzy_nowi,aktorzy_znikajacy,wydarzenia_nowe,wydarzenia_znikajace,miejsce_wiecu,miejsce_wiecu_zmienione,trasa_glowna_zmieniona,notatka,frekwencja_antinazi,frekwencja_dgb,frekwencja_euro,frekwencja_marian,frekwencja_myfest,frekwencja_nazi,frekwencja_pds_a,frekwencja_pds_u,frekwencja_revo13,frekwencja_revo18,frekwencja_revo_j,frekwencja_repo,policja_sily,ranni_policjanci,zatrzymania_1maja,zatrzymania_walpurgis,zatrzymania_kontra
1998,13,demonstracja:9;festyn:3;wiec:1,9,0,3,FALSE,6,0,4,FALSE,4,0,0,1,0,0,0,7,1,8,4,30292,30292,,,13875,0.458,7,Volkssolidarität,DAG;Obdachlose Initativen,1998_DE_festyn_Volkssolidaritat,1997_DE_festyn_DAG;1997_DE_wiec_Obdachlose-Initativen-Obdachlose-Iniativen-Treffe,Rotes Rathaus,FALSE,,obsidian://open?vault=Wszystko&file=1998_DE,,13875,,1500,,,6500,,1750,6667,,8417,5000,145,379,28,0
1999,14,demonstracja:9;festyn:3;wiec:2,9,0,3,FALSE,7,0,4,TRUE,4,0,0,2,0,0,0,9,0,7,2,35900,35900,,,10400,0.29,6,,Volkssolidarität,1999_DE_festyn_Walpurgisnacht-Walpurginsnacht;1999_DE_wiec_Walpurgisnacht-Helmholtzplatz-Walpurgisnacht-Kundgebung,1998_DE_festyn_Volkssolidaritat,Rotes Rathaus,FALSE,,obsidian://open?vault=Wszystko&file=1999_DE,,10400,,,,,10000,,1500,14000,,15500,5000,139,127,6,0
2000,25,demonstracja:9;festyn:13;korso:1;upamiętnienie:1;wiec:1,9,1,13,FALSE,7,1,3,FALSE,6,3,3,1,0,0,0,19,9,7,1,45667,34667,,11000,11167,0.245,9,BVV Marzahn;NPD;PDS_Antinazi,,2000_DE_demonstracja_NPD-linestring;2000_DE_festyn_BVV-Marzahn;2000_DE_festyn_PDS-Antinazi;2000_DE_korso_DGB,1999_DE_festyn_Walpurgisnacht-Walpurginsnacht;1999_DE_wiec_Walpurgisnacht-Helmholtzplatz-Walpurgisnacht-Kundgebung,Rotes Rathaus,FALSE,,obsidian://open?vault=Wszystko&file=2000_DE,10000,11167,,5000,,1000,3667,,1500,13333,,14833,6765,283,144,57,200
2001,19,demonstracja:12;festyn:5;wiec:2,12,0,5,FALSE,8,0,6,TRUE,5,1,1,2,0,0,0,12,0,5,1,37408,36833,,575,16833,0.45,7,,BVV Marzahn;PDS_Antinazi,2001_DE_festyn_Walpurgisnacht-Walpurgisnacht-Spontane-Street-Party;2001_DE_wiec_Walpurgisnacht-Antikapitalistische-Walpurgisnacht,2000_DE_festyn_BVV-Marzahn;2000_DE_festyn_PDS-Antinazi;2000_DE_korso_DGB,Rotes Rathaus,FALSE,,obsidian://open?vault=Wszystko&file=2001_DE,475,16833,,5000,,100,7250,,2250,5500,,7750,9000,166,616,40,0
2002,14,demonstracja:5;festyn:3;happening:1;kontra:3;wiec:2,5,0,3,TRUE,5,0,3,FALSE,3,4,4,2,1,0,0,8,0,5,0,30950,29250,,1700,13500,0.436,7,Antinazi Berlin;KPD/RZ,IG Metall;ÖTV,2002_DE_happening_KPD-RZ-KPD-RZ;2002_DE_kontra_Antinazi-Berlin,2001_DE_demonstracja_IG-Metall;2001_DE_demonstracja_OTV;2001_DE_demonstracja_Walpurgisnacht-Walpurgisnacht-Frauendemo-Wir-erobern-un;2001_DE_festyn_Walpurgisnacht-Walpurgisnacht-Spontane-Street-Party,Rotes Rathaus,FALSE,,obsidian://open?vault=Wszystko&file=2002_DE,1000,13500,,,,700,2250,,4000,9500,,13500,5000,101,183,34,0
2003,13,demonstracja:4;festyn:5;kontra:2;korso:1;wiec:1,4,0,5,TRUE,4,1,2,FALSE,4,2,2,1,0,0,0,7,2,5,3,45675,43750,,1925,13500,0.296,7,MyFest,KPD/RZ,2003_DE_festyn_MyFest-MyFest;2003_DE_kontra_PDS;2003_DE_korso_DGB,2002_DE_happening_KPD-RZ-KPD-RZ;2002_DE_wiec_PDS,Rotes Rathaus,FALSE,,obsidian://open?vault=Wszystko&file=2003_DE,250,13500,,,20000,1675,,,6750,3500,,10250,7500,178,185,51,0
2004,12,demonstracja:7;festyn:3;kontra:1;wiec:1,7,0,3,TRUE,7,0,3,FALSE,3,2,2,1,0,0,0,6,1,4,7,62700,57000,,5700,18500,0.295,7,,,2004_DE_demonstracja_Walpurgisnacht-Kommunismus-statt-Europa,2003_DE_kontra_PDS;2003_DE_korso_DGB,Rotes Rathaus,FALSE,,obsidian://open?vault=Wszystko&file=2004_DE,3400,18500,,,30000,2300,,,5000,3500,,8500,8000,187,162,114,72
2005,18,demonstracja:7;festyn:7;korso:2;wiec:2,7,0,7,FALSE,7,2,3,FALSE,5,0,0,2,0,0,0,12,5,5,5,26000,26000,,,10500,0.404,6,FAU,Antinazi Berlin;NPD,2005_DE_demonstracja_FAU-FAU-Du-Hast-eine-Wurde-Verteidige-Sie;2005_DE_korso_DGB-mitte,2004_DE_demonstracja_NPD;2004_DE_kontra_Antinazi-Berlin,Rotes Rathaus,FALSE,,obsidian://open?vault=Wszystko&file=2005_DE,,10500,,,15000,,,,500,0,,500,6150,32,123,70,0
2006,15,demonstracja:6;festyn:4;korso:4;wiec:1,6,0,4,FALSE,5,4,3,FALSE,6,0,0,1,0,0,0,12,2,6,0,28550,28550,,,13500,0.473,7,EuroMayDay;Jungen Liberalen;Linkspartei,FAU;PDS,2006_DE_demonstracja_EuroMayDay;2006_DE_demonstracja_Jungen-Liberalen-Jungen-Liberalen-Protest;2006_DE_festyn_Linkspartei-hohenschonhausen,2005_DE_demonstracja_FAU-FAU-Du-Hast-eine-Wurde-Verteidige-Sie;2005_DE_demonstracja_Walpurgisnacht-Berlin-protestiert-friedlich-Fur-friedli;2005_DE_festyn_PDS-hohenschonhausen,Brandenburger Tor,TRUE,,obsidian://open?vault=Wszystko&file=2006_DE,,13500,4000,,11000,,,,50,0,,50,5101,66,107,72,0
2007,16,demonstracja:5;festyn:6;korso:4;wiec:1,5,0,6,FALSE,5,4,2,FALSE,6,0,0,1,0,0,0,13,4,6,0,42067,42067,,,10500,0.25,6,Die Linke,Jungen Liberalen;Linkspartei,2007_DE_demonstracja_Walpurgisnacht-Walpurgisnacht-Demo;2007_DE_festyn_Die-Linke-prenzlauer-berg,2006_DE_demonstracja_Jungen-Liberalen-Jungen-Liberalen-Protest;2006_DE_festyn_Linkspartei-hohenschonhausen,Brandenburger Tor,FALSE,,obsidian://open?vault=Wszystko&file=2007_DE,,10500,7000,,16000,,,,900,7667,,8567,4724,90,115,119,0
