rok,miasto,aktor,aktor_znany,typ,trasa,trasa_alt,miejsce_wiecu,miejsce_wiecu_zrodlo,haslo,frekwencja_lista,frekwencja_sr,frekwencja_uwagi,klucze_zrodlowe,plik_zrodlowy,wymaga_weryfikacji
1990,DE,,False,demonstracja,"FDGB: Lustgarten - Unter den Linden - Brandenburger Tor - Platz der Republik
IG Metall: Alten Jakobstrasse – Brandenburger Tor - Platz der Republik
ÖTV i GBW: Joachimsthaler Straße – Brandenburger Tor - Platz der Republik
DGB: Keithstrasse - Brandenburger Tor - Platz der Republik
1. DGB; 2. ÖTV i GEW: Joachimsthalerstrasse - Brama Brandenburska - Reichstag",,Platz der Republik,koniec trasy,,,,,Trasa;Trasa_zachod,DE_1990-2019.md,True
1990,DE,ÖTV,True,demonstracja,"Joachimstaler Straße, Ecke Lietzenburger Strasse – Joachimstaler Straße – Lietzenburger Strasse – Schlüsterstrasse – Kantstrasse – Breitschiedtplatz – Budapester Strasse – Stülerstrasse – Hofjägerallee – Großer Stern – Spreeweg – John-Forster-Dulles-Alle – Platz der Republik (DGBB 651)",,Platz der Republik (DGBB 651),koniec trasy,,,,,Trasa_ÖTV,DE_1990-2019.md,False
1990,DE,IG Metall,True,demonstracja,Alte Jacobstrasse – Lindenstrasse – Gitschner Strasse – Mehringdamm – Yorckstrasse – Yorkbrücken – Goebenstrasse – Kulmer Strasse – Bülowstr. – Postdamer Str. – Entlastungsstr. – Platz der Republik (DGBB 651),,Platz der Republik (DGBB 651),koniec trasy,,,,,TrasaIGM,DE_1990-2019.md,False
1991,DE,FDGB,True,,,,,,,,,,Apel_FDGB,DE_1990-2019.md,True
1991,DE,,False,demonstracja,"Geplant ist ein Sternmarsch zum Platz der Republik vor dem Reichstagsgebäude mit vier Demonstrationszügen, die von verschiedenen Punkten der Berliner Innenstadt starten werden, teilte der DGB gestern mit. (taz 30.04.1991). Metaller with the critical trade unionists march from Lindnerstrasse/Gittigerstrasse ecke. Other 3, I guess as a year before and after
Märkisches Ufer – Brückenstrasse – Stralauer Strasse – Spandauer Strasse – Karl-Liebknecht–Strasse – Unter den Linden – Brandenburger Tor – Strasse der 17. Juni – Entlastungsstrasse – Platz der Republik (DGBB 653)",,,,,15000@DGB;25;30000@DGBG000721;10000@rbb,13756,bez liczby: TAZ,Frekwencja;Trasa;Trasa_Ost,DE_1990-2019.md,True
1991,DE,IG Metall,True,demonstracja,Alte Jacobstrasse – Oranienstrasse – Kochstrasse – Friedrichstrasse – Unter den Linden – Brandenburger Tor – Strasse der 17. Juni – Entlastungsstrasse – Platz der Republik (DGBB 653),,Platz der Republik (DGBB 653),koniec trasy,,,,,TrasaIGM,DE_1990-2019.md,False
1991,DE,ÖTV,True,demonstracja,Lietzenburger Strasse – Nürnburger Strasse – Budapester Strasse – Stülerstrasse – Hofjägerallee – Großer Stern – Spreeweg – John-Forster-Dulles-Alle – Platz der Republik (DGBB 653),,Platz der Republik (DGBB 653),koniec trasy,,,,,Trasa_ÖTV,DE_1990-2019.md,False
1992,DE,,False,demonstracja,"Overall, there will be 5 different marches towards the main event in Lustgarten: 1) the DGB building on Keithstraße (8:30 a.m.); 2) the IG Metall building on Alte Jakobstraße (9:00 a.m.) and 3) the ÖTV building on Joachimsthaler Straße 20 (8:30 a.m.). In the east, the march will begin in front of the trade union building on 4) Wallstraße 61-65 (9:30 a.m.). Moreover, Bündnis kritischer GewerkschafterInnen Ost/ West organise their own march from Alexanderplatz to Lustgarten (taz 29.04)
Wallstraße – Märkisches Ufer – Brückenstrasse – Stralauer Strasse – Spandauer Strasse – Karl-Liebknecht-Strasse – Lustgarten (DGBB 657)",,,,,,,,Hasło_D;Trasa;Trasa_Ost,DE_1990-2019.md,True
1992,DE,ÖTV,True,demonstracja,Lietzenburger Strasse – An der Urania – Schillstrasse – Lützowufer – Schöneberger Ufer – Potsdamer Strasse – Potsdamer Platz – Leipziger Platz – Leipziger Strasse – Friedrichstrasse – Unter den Linden – Lustgarten (DGBB 653),,Lustgarten (DGBB 653),koniec trasy,,,,,Trasa_ÖTV,DE_1990-2019.md,False
1992,DE,IG Metall,True,demonstracja,Alte Jakobstrasse/Lindenstrasse – Oranienstrasse – Moritzplatz – Heinrich-Heine-Strasse – Brückenstrasse – Jannowitzbrücke – Stalauer Strasse – Molkenmarkt – Spandauer Strasse – Karl-Liebknechtstrasse – Lustgarten (DGBG656). IG Metall joins the Wallstrasse demonstration at Märkisches Ufer/Brückenstrasse (DGBB 657),,,,,,,,TrasaIGM,DE_1990-2019.md,False
1994,DE,DGB Berlin-Brandenburg,True,,,,,,,,,,Apel_DGB_BB,DE_1990-2019.md,True
1995,DE,,False,demonstracja,"Das Berliner Gewerkschaftsfest umfaßt einen Fahrradkorso ab DGB-Haus in der Keithstraße 9.30 Uhr, eine Demonstration am Moritzplatz um 10 Uhr, eine Kundgebung am Köllnischen Park in Mitte um 11 Uhr sowie anschließend ein Maifest an gleicher Stelle.  (ND 28.04.1995)",,,,,,,,Trasa,DE_1990-2019.md,True
