rok,miasto,aktor,wydarzenie,liczba,zrodlo,kategoria,plik_zrodlowy
1991,DE,R1M,demonstracja wspolna,10000,Gluckspilz,,FrekwencjaDGB15.xlsx#Dane_Revo_joint
1991,DE,R1M,demonstracja wspolna,8000,Gluckspilz,policja,FrekwencjaDGB15.xlsx#Dane_Revo_joint
1991,DE,R1M,demonstracja wspolna,20000,Gluckspilz,organizatorzy,FrekwencjaDGB15.xlsx#Dane_Revo_joint
1992,DE,Antifa,kontrdemonstracja,200,Gluckspilz,prasa,FrekwencjaDGB15.xlsx#Dane_Antinazi
1992,DE,DGB,demonstracja,8000,Kronika Berlina,policja,FrekwencjaDGB15.xlsx#Dane
1992,DE,DGB,demonstracja,15000,Berliner Morgenpost DGBG657,prasa,FrekwencjaDGB15.xlsx#Dane
1992,DE,DGB,demonstracja,40000,Neues Deutschland (Kritische Gewerkschaften s.71),prasa,FrekwencjaDGB15.xlsx#Dane
1992,DE,DGB,demonstracja,25000,DGBG000656,organizatorzy,FrekwencjaDGB15.xlsx#Dane
1992,DE,DGB,demonstracja,10000,rbb,prasa,FrekwencjaDGB15.xlsx#Dane
1992,DE,DGB,demonstracja,40000,Berliner Zeitung 2.05.1992,prasa,FrekwencjaDGB15.xlsx#Dane
1992,DE,NPD,demonstracja,50,taz,prasa,FrekwencjaDGB15.xlsx#Dane_Nazi
1992,DE,PDS,demonstracja,6000,Zug der Widerspensigsten (JW),prasa,FrekwencjaDGB15.xlsx#Dane_Ost_PDS
1992,DE,R1M,demonstracja wspolna,12000,Gluckspilz,prasa,FrekwencjaDGB15.xlsx#Dane_Revo_joint
1992,DE,R1M,demonstracja wspolna,9000,"policja, za rbb",policja,FrekwencjaDGB15.xlsx#Dane_Revo_joint
1992,DE,R1M,demonstracja wspolna,15000,Gluckspilz,prasa,FrekwencjaDGB15.xlsx#Dane_Revo_joint
1993,DE,DGB,demonstracja,15000,Taz 3.05,prasa,FrekwencjaDGB15.xlsx#Dane
1993,DE,DGB,demonstracja,30000,Neues Deutschland 3.05; Berliner Zeitung 3.05 za DGB,organizatorzy,FrekwencjaDGB15.xlsx#Dane
1993,DE,DGB,demonstracja,5000,rbb,prasa,FrekwencjaDGB15.xlsx#Dane
1993,DE,NPD,demonstracja,100,Gluckspilz,prasa,FrekwencjaDGB15.xlsx#Dane_Nazi
1993,DE,PDS,demonstracja,6000,ZdW (JW),prasa,FrekwencjaDGB15.xlsx#Dane_Ost_PDS
1993,DE,R1M,demonstracja wspolna,5500,Gluckspilz,policja,FrekwencjaDGB15.xlsx#Dane_Revo_joint
1993,DE,R1M,demonstracja wspolna,10000,Gluckspilz,prasa,FrekwencjaDGB15.xlsx#Dane_Revo_joint
1994,DE,Antifa,kontrdemonstracja,400,taz,prasa,FrekwencjaDGB15.xlsx#Dane_Antinazi
1994,DE,Antifa,kontrdemonstracja,500,Gluckspilz,prasa,FrekwencjaDGB15.xlsx#Dane_Antinazi
1994,DE,DGB,demonstracja,5000,TAZ,prasa,FrekwencjaDGB15.xlsx#Dane
1994,DE,DGB,demonstracja,5000,rbb,prasa,FrekwencjaDGB15.xlsx#Dane
1994,DE,DGB,demonstracja,8000,DGBG664,organizatorzy,FrekwencjaDGB15.xlsx#Dane
1994,DE,NPD,demonstracja,5,Berliner Zeitung,prasa,FrekwencjaDGB15.xlsx#Dane_Nazi
1994,DE,PDS,demonstracja,1000,(Zug PDS) BZ,prasa,FrekwencjaDGB15.xlsx#Dane_Ost_PDS
1994,DE,R1M,demonstracja wspolna,800,Berliner Zeitung,prasa,FrekwencjaDGB15.xlsx#Dane_Revo_joint
1994,DE,R1M,demonstracja wspolna,1000,Gluckspilz,prasa,FrekwencjaDGB15.xlsx#Dane_Revo_joint
1995,DE,DGB,demonstracja,5000,TAZ 2.05,prasa,FrekwencjaDGB15.xlsx#Dane
1995,DE,DGB,demonstracja,6000,Kronika Berlina,prasa,FrekwencjaDGB15.xlsx#Dane
1995,DE,DGB,demonstracja,10000,DGBG664,organizatorzy,FrekwencjaDGB15.xlsx#Dane
1995,DE,DGB,demonstracja,6000,Berliner Morgenpost (DGBB664),prasa,FrekwencjaDGB15.xlsx#Dane
1995,DE,DGB,demonstracja,10000,Berliner Zeitung (DGBB664),prasa,FrekwencjaDGB15.xlsx#Dane
1995,DE,R1M,demonstracja wspolna,2500,Berliner Zeitung,prasa,FrekwencjaDGB15.xlsx#Dane_Revo_joint
1995,DE,R1M,demonstracja wspolna,2000,Gluckspilz,prasa,FrekwencjaDGB15.xlsx#Dane_Revo_joint
1996,DE,Antifa,kontrdemonstracja,40,Breitenbach (JW 3.05),organizatorzy,FrekwencjaDGB15.xlsx#Dane_Antinazi
1996,DE,DGB,demonstracja,20000,TAZ 2.05,prasa,FrekwencjaDGB15.xlsx#Dane
1996,DE,DGB,demonstracja,20000,DPA,prasa,FrekwencjaDGB15.xlsx#Dane
1996,DE,DGB,demonstracja,10000,Junge Welt,prasa,FrekwencjaDGB15.xlsx#Dane
1996,DE,NPD,demonstracja,300,Gluckspilz,prasa,FrekwencjaDGB15.xlsx#Dane_Nazi
1996,DE,NPD,demonstracja,400,jw,prasa,FrekwencjaDGB15.xlsx#Dane_Nazi
1996,DE,PDS,demonstracja,400,"mehrere hundert, rbb",prasa,FrekwencjaDGB15.xlsx#Dane_Ost_PDS
1996,DE,PDS,demonstracja,4000,"""mehrere Tausend"" PDS Kundgebung ~4000, ND",prasa,FrekwencjaDGB15.xlsx#Dane_Ost_PDS
1996,DE,R1M,demonstracja 13:00,3000,Gluckspilz,prasa,FrekwencjaDGB15.xlsx#Dane_Revo13
1996,DE,R1M,demonstracja wieczorna,10000,Gluckspilz,prasa,FrekwencjaDGB15.xlsx#Dane_Revo
1997,DE,DGB,demonstracja,7500,rbb,prasa,FrekwencjaDGB15.xlsx#Dane
1997,DE,DGB,demonstracja,5000,TAZ,prasa,FrekwencjaDGB15.xlsx#Dane
1997,DE,DGB,demonstracja,5000,Kronika Berlina,prasa,FrekwencjaDGB15.xlsx#Dane
1997,DE,DGB,demonstracja,25000,DGBG1329,organizatorzy,FrekwencjaDGB15.xlsx#Dane
1997,DE,DGB,demonstracja,5000,rbb B1 1. Mai Spezial,policja,FrekwencjaDGB15.xlsx#Dane
1997,DE,PDS,demonstracja,5000,rbb B1 1. Mai Spezial,prasa,FrekwencjaDGB15.xlsx#Dane_Ost_PDS
1997,DE,PDS,demonstracja,15000,"PDS Kundgebung (organizatorzy, za ND)",organizatorzy,FrekwencjaDGB15.xlsx#Dane_Ost_PDS
1997,DE,PDS,demonstracja,2000,"Polizei, za ND PDS Kundgebung",policja,FrekwencjaDGB15.xlsx#Dane_Ost_PDS
1997,DE,R1M,demonstracja 13:00,2000,Gluckspilz,prasa,FrekwencjaDGB15.xlsx#Dane_Revo13
1997,DE,R1M,demonstracja wieczorna,9000,Glückspilz,prasa,FrekwencjaDGB15.xlsx#Dane_Revo
1998,DE,DGB,demonstracja,8000,Kronika Berlina,prasa,FrekwencjaDGB15.xlsx#Dane
1998,DE,DGB,demonstracja,20000,dpa,prasa,FrekwencjaDGB15.xlsx#Dane
1998,DE,DGB,demonstracja,10000,TAZ 2.05,prasa,FrekwencjaDGB15.xlsx#Dane
1998,DE,DGB,demonstracja,17500,"DGBG1327 (15000–20000, środek przedziału)",organizatorzy,FrekwencjaDGB15.xlsx#Dane
1998,DE,Mariannenplatz,festyn,1500,taz,prasa,FrekwencjaDGB15.xlsx#Dane_Mariannenplatz
1998,DE,PDS,demonstracja,1000,"PDS Fest, BZ",prasa,FrekwencjaDGB15.xlsx#Dane_Ost_PDS
1998,DE,PDS,demonstracja,12000,PDS Veranstaltung ND,prasa,FrekwencjaDGB15.xlsx#Dane_Ost_PDS
1998,DE,R1M,demonstracja 13:00,1750,Gluckspilz,prasa,FrekwencjaDGB15.xlsx#Dane_Revo13
1998,DE,R1M,demonstracja wieczorna,3000,ND,prasa,FrekwencjaDGB15.xlsx#Dane_Revo
1998,DE,R1M,demonstracja wieczorna,6000,Gluckspilz,policja,FrekwencjaDGB15.xlsx#Dane_Revo
1998,DE,R1M,demonstracja wieczorna,11000,Gluckspilz,organizatorzy,FrekwencjaDGB15.xlsx#Dane_Revo
1999,DE,DGB,demonstracja,10000,Kronika Berlina,prasa,FrekwencjaDGB15.xlsx#Dane
1999,DE,DGB,demonstracja,10000,Tagesspiegel,prasa,FrekwencjaDGB15.xlsx#Dane
1999,DE,DGB,demonstracja,10000,TAZ 3.05,prasa,FrekwencjaDGB15.xlsx#Dane
1999,DE,DGB,demonstracja,7000,policja za taz,policja,FrekwencjaDGB15.xlsx#Dane
1999,DE,DGB,demonstracja,15000,DGB (za Berliner Zeitung 3.05),organizatorzy,FrekwencjaDGB15.xlsx#Dane
1999,DE,PDS,demonstracja,10000,"PDS Kundgebung, ND",prasa,FrekwencjaDGB15.xlsx#Dane_Ost_PDS
1999,DE,R1M,demonstracja 13:00,1500,Gluckspilz,prasa,FrekwencjaDGB15.xlsx#Dane_Revo13
1999,DE,R1M,demonstracja wieczorna,12000,Tagesspiegel,prasa,FrekwencjaDGB15.xlsx#Dane_Revo
1999,DE,R1M,demonstracja wieczorna,15000,Gluckspilz,prasa,FrekwencjaDGB15.xlsx#Dane_Revo
1999,DE,R1M,demonstracja wieczorna,15000,Beliner Zeitung,prasa,FrekwencjaDGB15.xlsx#Dane_Revo
2000,DE,Antifa,kontrdemonstracja,10000,ND,prasa,FrekwencjaDGB15.xlsx#Dane_Antinazi
2000,DE,DGB,demonstracja,18000,Organizatorzy (za Tagesspiegel),organizatorzy,FrekwencjaDGB15.xlsx#Dane
2000,DE,DGB,demonstracja,10000,taz,prasa,FrekwencjaDGB15.xlsx#Dane
2000,DE,DGB,demonstracja,7000,Poicja (za Tagsspl),policja,FrekwencjaDGB15.xlsx#Dane
2000,DE,DGB,demonstracja,12000,DGBAI3702,organizatorzy,FrekwencjaDGB15.xlsx#Dane
2000,DE,DGB,demonstracja,10000,Berliner Kurier,prasa,FrekwencjaDGB15.xlsx#Dane
2000,DE,DGB,demonstracja,10000,Kronika Berlina,prasa,FrekwencjaDGB15.xlsx#Dane
2000,DE,Mariannenplatz,festyn,5000,taz,prasa,FrekwencjaDGB15.xlsx#Dane_Mariannenplatz
2000,DE,NPD,demonstracja,1000,Gluckspilz,prasa,FrekwencjaDGB15.xlsx#Dane_Nazi
2000,DE,PDS,demonstracja,7000,"PDS Kundgebung, ND",prasa,FrekwencjaDGB15.xlsx#Dane_Ost_PDS
2000,DE,PDS,demonstracja,3000,"PDS Kundgebung, BZ",prasa,FrekwencjaDGB15.xlsx#Dane_Ost_PDS
2000,DE,PDS,demonstracja,1000,"PDS Kundgebung, die Welt",prasa,FrekwencjaDGB15.xlsx#Dane_Ost_PDS
2000,DE,R1M,demonstracja 13:00,1000,Gluckspilz,prasa,FrekwencjaDGB15.xlsx#Dane_Revo13
2000,DE,R1M,demonstracja 13:00,800,Berliner Morgenpost,prasa,FrekwencjaDGB15.xlsx#Dane_Revo13
2000,DE,R1M,demonstracja 13:00,2000,taz,prasa,FrekwencjaDGB15.xlsx#Dane_Revo13
2000,DE,R1M,demonstracja wieczorna,5000,Gluckspilz,policja,FrekwencjaDGB15.xlsx#Dane_Revo
2000,DE,R1M,demonstracja wieczorna,20000,Gluckspilz,organizatorzy,FrekwencjaDGB15.xlsx#Dane_Revo
2000,DE,R1M,demonstracja wieczorna,15000,Gluckspilz,prasa,FrekwencjaDGB15.xlsx#Dane_Revo
2001,DE,Antifa,kontrdemonstracja,350,taz,prasa,FrekwencjaDGB15.xlsx#Dane_Antinazi
2001,DE,Antifa,kontrdemonstracja,600,"Tsg, s. 11",prasa,FrekwencjaDGB15.xlsx#Dane_Antinazi
2001,DE,DGB,demonstracja,10000,Tagesspiegel,prasa,FrekwencjaDGB15.xlsx#Dane
2001,DE,DGB,demonstracja,18000,Kronika Berlina,prasa,FrekwencjaDGB15.xlsx#Dane
2001,DE,DGB,demonstracja,18000,Neues Deutschland,prasa,FrekwencjaDGB15.xlsx#Dane
2001,DE,DGB,demonstracja,20000,rbb,prasa,FrekwencjaDGB15.xlsx#Dane
2001,DE,DGB,demonstracja,25000,Berliner Zeitung,prasa,FrekwencjaDGB15.xlsx#Dane
2001,DE,DGB,demonstracja,10000,TAZ 2.05,prasa,FrekwencjaDGB15.xlsx#Dane
2001,DE,Mariannenplatz,festyn,5000,taz,prasa,FrekwencjaDGB15.xlsx#Dane_Mariannenplatz
2001,DE,NPD,demonstracja,100,"TsG, s. 11",prasa,FrekwencjaDGB15.xlsx#Dane_Nazi
2001,DE,PDS,demonstracja,7000,"PDS Kundgebung, Berliner Kurier",prasa,FrekwencjaDGB15.xlsx#Dane_Ost_PDS
2001,DE,PDS,demonstracja,7500,"PDs Kundgebung, ND",prasa,FrekwencjaDGB15.xlsx#Dane_Ost_PDS
2001,DE,R1M,demonstracja 13:00,2000,stressfaktor,prasa,FrekwencjaDGB15.xlsx#Dane_Revo13
2001,DE,R1M,demonstracja 13:00,2500,taz,prasa,FrekwencjaDGB15.xlsx#Dane_Revo13
2001,DE,R1M,demonstracja wieczorna,6000,stressfaktor,prasa,FrekwencjaDGB15.xlsx#Dane_Revo
2001,DE,R1M,demonstracja wieczorna,5000,taz,prasa,FrekwencjaDGB15.xlsx#Dane_Revo
2002,DE,Antifa,kontrdemonstracja,1000,taz,prasa,FrekwencjaDGB15.xlsx#Dane_Antinazi
2002,DE,DGB,demonstracja,10000,rbb,prasa,FrekwencjaDGB15.xlsx#Dane
2002,DE,DGB,demonstracja,25000,Tagesspiegel (za organizatorami),organizatorzy,FrekwencjaDGB15.xlsx#Dane
2002,DE,DGB,demonstracja,12000,Taz 2.05,prasa,FrekwencjaDGB15.xlsx#Dane
2002,DE,DGB,demonstracja,7000,Helbrecht (za policją),policja,FrekwencjaDGB15.xlsx#Dane
2002,DE,NPD,demonstracja,700,Gluckspilz,prasa,FrekwencjaDGB15.xlsx#Dane_Nazi
2002,DE,PDS,demonstracja,3500,PDS Kundgebung Rucht,prasa,FrekwencjaDGB15.xlsx#Dane_Ost_PDS
2002,DE,PDS,demonstracja,1000,PDS Kundgebung rbb,prasa,FrekwencjaDGB15.xlsx#Dane_Ost_PDS
2002,DE,R1M,demonstracja 13:00,4000,Gluckspilz,prasa,FrekwencjaDGB15.xlsx#Dane_Revo13
2002,DE,R1M,demonstracja wieczorna,8000,LÖPA,prasa,FrekwencjaDGB15.xlsx#Dane_Revo
2002,DE,R1M,demonstracja wieczorna,11000,"10-12k (Gluckspilz, stressfaktor)",prasa,FrekwencjaDGB15.xlsx#Dane_Revo
2003,DE,Antifa,kontrdemonstracja,200,LÖPA,prasa,FrekwencjaDGB15.xlsx#Dane_Antinazi
2003,DE,Antifa,kontrdemonstracja,300,taz,prasa,FrekwencjaDGB15.xlsx#Dane_Antinazi
2003,DE,DGB,demonstracja,20000,TAZ 2.05 s.21 za organizatorami,organizatorzy,FrekwencjaDGB15.xlsx#Dane
2003,DE,DGB,demonstracja,7000,Helbrecht (za policją),policja,FrekwencjaDGB15.xlsx#Dane
2003,DE,Mariannenplatz,festyn,20000,"taz; ta sama liczba, co MyFest",prasa,FrekwencjaDGB15.xlsx#Dane_Mariannenplatz
2003,DE,MyFest,festyn,20000,taz 16.01,prasa,FrekwencjaDGB15.xlsx#Dane_MyFest
2003,DE,NPD,demonstracja,1350,"taz, za policją",policja,FrekwencjaDGB15.xlsx#Dane_Nazi
2003,DE,NPD,demonstracja,2000,TsG,prasa,FrekwencjaDGB15.xlsx#Dane_Nazi
2003,DE,R1M,demonstracja 13:00,10000,Gluckspilz,prasa,FrekwencjaDGB15.xlsx#Dane_Revo13
2003,DE,R1M,demonstracja 13:00,3500,"Tsg, police",policja,FrekwencjaDGB15.xlsx#Dane_Revo13
2003,DE,R1M,demonstracja wieczorna,3500,Gluckspilz,prasa,FrekwencjaDGB15.xlsx#Dane_Revo
2004,DE,Antifa,kontrdemonstracja,2300,LÖPA,prasa,FrekwencjaDGB15.xlsx#Dane_Antinazi
2004,DE,Antifa,kontrdemonstracja,4500,Umbruch,prasa,FrekwencjaDGB15.xlsx#Dane_Antinazi
2004,DE,DGB,demonstracja,25000,Die Welt 3.05 / Hamburger Abendblatt 3.05 (organizatorzy),organizatorzy,FrekwencjaDGB15.xlsx#Dane
2004,DE,DGB,demonstracja,12000,Tagesspiegel (za policją),policja,FrekwencjaDGB15.xlsx#Dane
2004,DE,MyFest,festyn,30000,BZ 17.01,prasa,FrekwencjaDGB15.xlsx#Dane_MyFest
2004,DE,NPD,demonstracja,2300,LÖPA,prasa,FrekwencjaDGB15.xlsx#Dane_Nazi
2004,DE,R1M,demonstracja 13:00,5000,Gluckspilz,prasa,FrekwencjaDGB15.xlsx#Dane_Revo13
2004,DE,R1M,demonstracja wieczorna,3500,Umbruch,prasa,FrekwencjaDGB15.xlsx#Dane_Revo
2005,DE,DGB,demonstracja,12000,Strona arch. DGB,organizatorzy,FrekwencjaDGB15.xlsx#Dane
2005,DE,DGB,demonstracja,12000,Berliner Zeitung,prasa,FrekwencjaDGB15.xlsx#Dane
2005,DE,DGB,demonstracja,10000,taz,prasa,FrekwencjaDGB15.xlsx#Dane
2005,DE,DGB,demonstracja,8000,Tagesspiegel,prasa,FrekwencjaDGB15.xlsx#Dane
2005,DE,MyFest,festyn,15000,Helbrecht,policja,FrekwencjaDGB15.xlsx#Dane_MyFest
2005,DE,R1M,demonstracja 13:00,500,Berliner Zeitung,prasa,FrekwencjaDGB15.xlsx#Dane_Revo13
2005,DE,R1M,demonstracja wieczorna,0,,,FrekwencjaDGB15.xlsx#Dane_Revo
2006,DE,DGB,demonstracja,17000,Petra Pau i Berliner Zeitung (za DGB),organizatorzy,FrekwencjaDGB15.xlsx#Dane
2006,DE,DGB,demonstracja,8000,ND,prasa,FrekwencjaDGB15.xlsx#Dane
2006,DE,DGB,demonstracja,25000,Geschäftsbericht,organizatorzy,FrekwencjaDGB15.xlsx#Dane
2006,DE,DGB,demonstracja,10000,taz,prasa,FrekwencjaDGB15.xlsx#Dane
2006,DE,DGB,demonstracja,7500,policja,policja,FrekwencjaDGB15.xlsx#Dane
2006,DE,EuroMayDay,demonstracja,4000,taz liveticker,prasa,FrekwencjaDGB15.xlsx#Euro MayDay
2006,DE,MyFest,festyn,11000,Helbrecht,policja,FrekwencjaDGB15.xlsx#Dane_MyFest
2006,DE,R1M,demonstracja 13:00,50,"mehr Menschen mit Kamera und Fotoapparat unterwegs als Demonstranten"" (taz)",prasa,FrekwencjaDGB15.xlsx#Dane_Revo13
2006,DE,R1M,demonstracja wieczorna,0,,,FrekwencjaDGB15.xlsx#Dane_Revo
2007,DE,DGB,demonstracja,12000,BK 2.05,prasa,FrekwencjaDGB15.xlsx#Dane
2007,DE,DGB,demonstracja,12000,Geschäftsbericht,organizatorzy,FrekwencjaDGB15.xlsx#Dane
2007,DE,DGB,demonstracja,7500,Helbrecht (za policją),policja,FrekwencjaDGB15.xlsx#Dane
2007,DE,EuroMayDay,demonstracja,6000,Berliner Kurier,prasa,FrekwencjaDGB15.xlsx#Euro MayDay
2007,DE,EuroMayDay,demonstracja,8000,Berliner Morgenpost,prasa,FrekwencjaDGB15.xlsx#Euro MayDay
2007,DE,MyFest,festyn,16000,Helbrecht,policja,FrekwencjaDGB15.xlsx#Dane_MyFest
2007,DE,MyFest,festyn,50000,Berliner Kurier,prasa,FrekwencjaDGB15.xlsx#Dane_MyFest
2007,DE,MyFest,festyn,60000,organizatorzy via taz,organizatorzy,FrekwencjaDGB15.xlsx#Dane_MyFest
2007,DE,R1M,demonstracja 13:00,800,Berliner Kurier,prasa,FrekwencjaDGB15.xlsx#Dane_Revo13
2007,DE,R1M,demonstracja 13:00,1000,Berliner Zeitung,prasa,FrekwencjaDGB15.xlsx#Dane_Revo13
2007,DE,R1M,demonstracja wieczorna,3000,police,policja,FrekwencjaDGB15.xlsx#Dane_Revo
2007,DE,R1M,demonstracja wieczorna,5000,Berliner Kurier,prasa,FrekwencjaDGB15.xlsx#Dane_Revo
2007,DE,R1M,demonstracja wieczorna,15000,organisers via BZ,organizatorzy,FrekwencjaDGB15.xlsx#Dane_Revo
2008,DE,DGB,demonstracja,5000,TAZ / BK 2.05 (mehrere Tausend → ~3000),prasa,FrekwencjaDGB15.xlsx#Dane
2008,DE,DGB,demonstracja,20000,Geschäftsbericht,organizatorzy,FrekwencjaDGB15.xlsx#Dane
2008,DE,DGB,demonstracja,6500,weit mehr als 6000 (BZ 2.05.2008),prasa,FrekwencjaDGB15.xlsx#Dane
