rok,miasto,aktor,wydarzenie,liczba,zrodlo,kategoria,plik_zrodlowy
2014,DE,DGB,demonstracja,10000,Neues Deutschland,prasa,FrekwencjaDGB15.xlsx#Dane
2014,DE,MyFest,festyn,40000,organizatorzy via taz,prasa,FrekwencjaDGB15.xlsx#Dane_MyFest
2014,DE,R1M,demonstracja wieczorna,19000,police,policja,FrekwencjaDGB15.xlsx#Dane_Revo
2014,DE,R1M,demonstracja wieczorna,25000,organisers,organizatorzy,FrekwencjaDGB15.xlsx#Dane_Revo
2015,DE,Antifa,kontrdemonstracja,500,BM,prasa,FrekwencjaDGB15.xlsx#Dane_Antinazi
2015,DE,DGB,demonstracja,15000,rbb za DGB,organizatorzy,FrekwencjaDGB15.xlsx#Dane
2015,DE,MyFest,festyn,45000,organisers via Tsg,organizatorzy,FrekwencjaDGB15.xlsx#Dane_MyFest
2015,DE,NPD,demonstracja,50,apabiz.de,prasa,FrekwencjaDGB15.xlsx#Dane_Nazi
2015,DE,R1M,demonstracja wieczorna,18000,police via Tsg,policja,FrekwencjaDGB15.xlsx#Dane_Revo
2015,DE,R1M,demonstracja wieczorna,33000,"organisers, via taz",organizatorzy,FrekwencjaDGB15.xlsx#Dane_Revo
2016,DE,Antifa,kontrdemonstracja,900,police via taz,policja,FrekwencjaDGB15.xlsx#Dane_Antinazi
2016,DE,DGB,demonstracja,14000,TAZ liveticker 1.05 za organizatorami,organizatorzy,FrekwencjaDGB15.xlsx#Dane
2016,DE,MyFest,festyn,30000,Berliner Morgenpost,prasa,FrekwencjaDGB15.xlsx#Dane_MyFest
2016,DE,NPD,demonstracja,50,"Störungsmelder, blog.zeit.de",prasa,FrekwencjaDGB15.xlsx#Dane_Nazi
2016,DE,R1M,demonstracja 13:00,250,taz,prasa,FrekwencjaDGB15.xlsx#Dane_Revo13
2016,DE,R1M,demonstracja wieczorna,13000,"police, taz liveticker",policja,FrekwencjaDGB15.xlsx#Dane_Revo
2016,DE,R1M,demonstracja wieczorna,20000,"organisers, taz liveticker",organizatorzy,FrekwencjaDGB15.xlsx#Dane_Revo
2017,DE,Antifa,kontrdemonstracja,600,Berliner Bundnis gegen Rechts,organizatorzy,FrekwencjaDGB15.xlsx#Dane_Antinazi
2017,DE,DGB,demonstracja,14000,BZ / DGB BB internet (za organizatorami),organizatorzy,FrekwencjaDGB15.xlsx#Dane
2017,DE,MyFest,festyn,45000,BZ,prasa,FrekwencjaDGB15.xlsx#Dane_MyFest
2017,DE,NPD,demonstracja,50,rbb (AfD Fest),prasa,FrekwencjaDGB15.xlsx#Dane_Nazi
