rok,godzina_od,godzina_do,dzielnica,dzielnice_wszystkie,aktor_zgadniety,sekcja,tekst,wiersz_zrodlowy
1991,14:00,,Prenzlauer Berg,Prenzlauer Berg,,Scenariusz,"14:00-20:00 - Tanz unterm Maibaum in Prenzlauer Berg, Kastanienallee 7-9",851
1991,14:00,,,,,Prasa / Berliner Zeitung / 30.04.1991,14:00-24:00 – from Marx-Engels-Platz through Unter den Linden stage programm in the city center,1005
1991,14:30,,Köpenick,Köpenick,,Scenariusz,"14:30-18:00 - Maifeier auf der Schönbörse in Köpenick (mit Kinderfest, Kunsthandwerk, Infos, Gesprächen)",852
1991,15:00,,Schöneberg,Schöneberg,,Scenariusz,"15:00 - Rosa-Luxemburg-Haus in Schöneberg, Kurze Str 11 - Diskussion ""Was erwartet die Arbeitnehmerinnen in der Region Berlin/Brandenburg""",853
1991,15:00,,Hellersdorf,Hellersdorf,,Scenariusz,15:00 - Maifeier in Hellersdorf (mit viel Musik),854
1991,15:00,,,,,Scenariusz,"15:00 – Lausitzer Platz festival, pod hasłem Gegen Rassismus und die Zerstörung Kreuzbergs (BZ)",855
1991,15:00,,,,,Prasa / Berliner Zeitung / 30.04.1991,"15:00 – Lausitzer Platz festival, pod hasłem Gegen Rassismus und die Zerstörung Kreuzbergs",1004
1991,15:35,,,,,Prasa / Sprawozdanie z dokumentów wewnętrznych DGB," Als besonderer Höhepunkt wurde der Auftritt des sowjetischen Musik-Gesangs-Ensembles empfunden, der zum Abschluss noch eine erfreulich grosse Zahl zu ZuhörinnerInnen vor die Hauptbühne lockte, so dass der Kulturprogramm durch Zugaben bis 15:35 Uhr verlängert werden musste",904
1991,15:45,,Kreuzberg,Kreuzberg,,Prasa / Berliner Zeitung / 2.05.1991," 15:45– na rogu Bänsch i PRoskauer Strasse dochodzi do zamieszek, wywołanych blokadą dojścia w stronę Rigaer Strasse riots/Kreuzberg/1991",1043
1991,18:00,,,,,Scenariusz,"18:00 – w Alten TU-Mensa kobieca demonstracja, rozpoczyna się w Kleistparku",826
1991,18:00,,,,,Scenariusz,18:00 – ZASILO wspólnie z Bündnis Kritischer GewerkschafterInnen organizują Tanz in den Mai w Haus der Demokratie,827
