rok,miasto,pole,tekst,plik
1990,PL,Brama Straceń,"O 12, delegacje uczestników pochodu składają kwiaty (DT)
Jaruzelski składa kwiaty w asyście wojskowej. Sam? (DT)",PL_1990-2019.md
1990,PL,Siedziba Robotnika,"PPS kończy pochód pod Robotnikiem, gdzie składa kwiaty: ""O godzinie 12 przybywa grupa członków PPS z Janem Józefem Lipskim. Złożyli kwiaty na kamieniu pamiątkowym, przemówił Władysław Jagiełło, lecz jak przystało na podeszły wiek większości manifestantów – w przemówieniu najwięcej miejsca poświęcono historii tej partii, jej różnym kolejom losu ( ŻW 1990)
Jak wspomina JJG, ""swego czasu"" delegacja OPZZ chodziła również na Warecką, pod siedzibę Robotnika (JJG_1_2, 21:00)",PL_1990-2019.md
1990,PL,Plac Grzybowski,nie odbywa się,PL_1990-2019.md
1990,PL,Plac Piłsudskiego,"ceremonia składania kwiatów pod pomnikiem Bohaterów Warszawy (DT, ŻW, GW, AAN)
Wydaje mi się, że kwiaty składać mógł Paweł Szymański, wiceprzewodniczący OPZZ (na podst. KO, do potwierdzenia)",PL_1990-2019.md
1990,PL,kontra,"Solidarność Walcząca: Ze schodów kościoła Św. Krzyża kilkuosobowa grupa młodzieży pod transparentem ""Solidarność Walcząca"" skandowała ""Bolszewicy do kostnicy"", ""Precz z komuną"". Rzucono 3 petardy. Pochód odpowiadał skandując: ""Demokracja"", ""Faszyści"", ""Do roboty gówniarze"" (PierwszyMaja, GW 1990)
Pochód próbowali zakłócić stojący przed wejściem do kościoła Św. Krzyża młodzi ludzie z Solidarności Walczącej obrzucając maszerujących petardami i świecami dymnymi. Wznoszono hasła: ""Precz z komuną"". Uczestnicy pochodu odpowiadali: ""Precz z faszyzmem!"", Niech żyje rząd Mazowieckiego!"" (ŻW 1990)
Na rogu Nowego Światu i Świętokrzyskiej grupa podpitych studentów Politechniki Warszawskiej kontestowała pochód OPZZ. Obwinięci czerwonymi szarfami i wymachujący czerwoną flagą młodzi ludzie nawoływali: >>Idźcie z Miodowiczem! Polska krajem Miodowiczem i mlekiem płynąca!<< (RP 1990, za Wyborczą)",PL_1990-2019.md
1990,PL,Pikniki,"Pod Empikiem festyn organizowany przez Trybunę Ludu. Miller twierdzi, że to może być zalążek nowej tradycji, tam dyskusje, goście ze świata sportu (Władysław Komar) i polityki (Aleksander Kwaśniewski). Rozpoczyna się o 12, pierwsze pytanie w dyskusji brzmi *Jak być rodziną epoki Balcerowicza*, w której spierali się przedstawiciele Komitetu Obrony Praw Ojca z działaczkami Pro Feminy i Demokratycznej Unii Kobiet. *Bardzo szybko tematem numer jeden stała się przygotowywana za zamkniętymi drzwiami senatu ustawa o ochronie życia poczętego*. Następnie dyskusja z rolnikami, która się przedłużyła. Dyskusje na różne inne tematy, oprócz tego, równolegle zaczyna się w kawiarni Kaprys spotkanie z członkami partii socjaldemokratycznej",PL_1990-2019.md
1990,PL,Komitet organizacyjny,"Twórzmy zespoły, z udziałem zainteresowanych organizacji, przygotowujące – w różnych formach – obchody pierwszomajowe. (Apel OPZZ 1990)",PL_1990-2019.md
1990,PL,wiec,"Alfred Miodowicz wita, przemawia. Pojawiają się przywódcy SdRP, Osóbka-Morawski witany owacjami (TPZ 1990)
Krótkie przemówienie, chyba tylko Leszka Millera (?) na placu Teatralnym (DT 1990)",PL_1990-2019.md
1991,PL,Wydarzenia_alt,"- Tym razem Trybuna zaprasza na spotkanie w klubie dyskusyjnym przy Szarej 10, gdzie gościem będzie Miodowicz i Cimoszewicz, a także członkowie redakcji Trybuny. Oprócz tego kiermasz i występu artystów estrady.- ""Kwiaty składane na Cytadeli pod Bramą Straceń, w tym samym czasie co kiermasz.""",PL_1990-2019.md
1991,PL,Apel,"(Fragment):""Od ponad 100 lat ludzie pracy na całym świecie obchodzą uroczyście dzień 1 Maja. Jest to dzień, w którym zjednoczeni we wspólnych pochodach, na wiecach, czy uroczystych akademiach, ludzie pracy wyrażają sprzeciw przeciwko wyzyskowi, pogarszającym się warunkom życia, a głównie podejmują walkę o własną godność, szacunek i sprawiedliwość społeczną. Rada OPZZ podjęła decyzję o organizowaniu manifestacji. Zwracamy się z apelem do wszystkich o masowy w niej udział",PL_1990-2019.md
1991,PL,Apel_PPS,"1 maja demonstrować będziemy z żądaniami: – likwidacji bezrobocia
– zniesienia popiwku rodzącego recesję!
– przekształceń własnościowych zgodnych z wolą załóg!
– stworzenia warunków do autentycznej spółdzielczości!
– ustawowej ochrony lokatorów!
– program rozwoju budownictwa mieszkaniowego!
– zaprzestania likwidacji świadczeń społecznych!
– powstrzymania klerykalizacji życia publicznego!
– referendum w sprawie aborcji!
– już dość rządów liberałów!.",PL_1990-2019.md
1991,PL,TVP,"Przemarsz z flagami anarchistycznymi i czerwonymi, PPS, a także polskim. To protest anarchistów, trockistów i członków IV Międzynarodówki przeciwko polityce gospodarczej rządu, ustawie aborcyjnej i militaryzmowi z USA, który z PPS-em spotyka się pod byłym Domem Partii. Było też Stowarzyszenie Feministyczne, Stowarzyszenie Lokatorów i Unia Wolnych Spółdzielców. *Chcemy aborcji parlamentu*
*Masło zamiast armat*
*Pomóżmy rumuńskim kobietom*
kobieta ma na plecach napis *jesteśmy kobietami, a nie ikubatorami*. Pojawia się flaga LGBT. Ikonowicz chce, by następcy obecnego rządu nie kontynuowali polityki narzuconej przez Międzynarodowy Fundusz Walutowy Pojawia się flaga Solidarnościowa. PPS wywiesza na trasie transparenty 1 i 3 maja, już na trasie pochodu OPZZ-owskiego. PPS-owcy kończą pod ministerstwem finansów, gdzie urzęduje przecież Leszek Balcerowicz Po raz kolejny kontra i okrzyki ""Precz z komuną"", jest przebitka na Jaruzelskiego. Słychać przemówienie Ewy Spychalskiej – dziękuje za udział w pierwszym maja, nasza wspólna sprawa, weźmy ją w swoje ręce. Mówi o autokarach, z których można skorzystać (?) – gdzieś jest jakiś przejazd. Nagranie z Krakowskiego Przedmieścia, gdzie uczestnicy kłócą się o Balcerowicza. *Balcerowicz hamuje całą gospodarkę narodową*. Ktoś go obraża, nazywa baranem. PPS krzyczy *Balcerowicz na zasiłek*. Na pochodzie OPZZ pojawia się transparent STOP: – bezrobociu
– głodowym pensjom
– europejskim cenom
– wysokim czynszom
– pogarszaniu warunków pracy
– zamykaniu sanatoriów, ośrodków zdrowia, przedszkól i aptek. Uczestnicy podpisywali petycję, w których opowiadali się za *wolnością, prawdziwą demokracją parlamentarną i gospodarką rynkową*. Fragment przemówienia Alfreda Miodowicza: *To nie majówka, ale w naszych warunkach, to jest wielka, protestacyjna manifestacja! I tak wszyscy powinni ją rozumieć*. Niektórzy uczestnicy idą jeszcze z czerwonymi goździkami. Są flagi OPZZ, są również kontrmanifestanci na schodach kościoła świętego krzyża. Na pochodzie anarchistycznym pojawiają się flagi i okrzyki *Balcerowicz musi odejść!*.  Wiec pod pomnikem Nike, gdzie partyjniacy z SdRP i byłego PZPR (Cimoszewicz, Oleksy rozdają autografy). Jest też Wojciech Jaruzelski, pytany o udział w obchodach 1 maja. Solidarność '80 (Seweryn Jankowski) i przewodniczący Solidarności Mazowsze na mszy w kościele Kostki, gdzie modlą się o miejsca pracy dla wszystkich
Na łamach TPZ najważniejsza jest kwestia bieżącego ustawodawstwa, i kierowania go w takim kierunku, który będzie najkorzystniejszy z perspektywy ruchu robotniczego. Jest o pakiecie ustaw uchwalonych 5 kwietnia 1991 (Pośpiech złym doradcą) – o związkach zawodowych, organizacjach pracodawców i rozwiązywaniu umów zbiorowych. Krytyka bałaganu i słabego przygotowania samej ustawy, ma ona służyć odebraniu OPZZ-owskiego mienia.",PL_1990-2019.md
1991,PL,Organizacje,"OPZZ, ""kilka PPSów"", SDRP, anarchiści",PL_1990-2019.md
1991,PL,Uczestnicy,"Jak podaje Wyborcza, w pochodzie warszawskim uczestniczyło 10 tysięcy osób – trasa tak, jak wspominano w Związkowcu. Pochody również w innych miastach w kraju, ale głównymi organizatorami SdRP wraz z OPZZ, które w tym czasie są już wspólnie częścią Sojuszu Lewicy Demokratycznej. Były przykłady działań subwersyjnych, odwołujących się do tradycji kontrpochodów Solidarności – *nie chcemy po piwku, chcemy dwa!*, mieli krzyczeć studenci w Łodzi. TVP mówi o 15 tysiącach",PL_1990-2019.md
1991,PL,Dziedzictwo_PRL,"opisany jako święto rutynowe, do którego obywateli byli przynajmniej przyzwyczajeni, jeśli nie odnosili się z sympatią. Wyjątek miały stanowić lata przełomów – 56, 70, 81. Wspomina tradycję kontrpochodów, i odwrócenie sytuacji w 1989, gdy skromne obchody partyjne przeciwstawia wielkiemu pochodowi organizowanemu przez Solidarność
Mimo odejścia na polityczną emeryturę, Wyborcza donosi o uczestnictwie w pochodzie również Wojciecha Jaruzelskiego, powitanego przez ówczesną wiceprzewodniczącą OPZZ Ewę Spychalską:
>Witamy generała Jaruzelskiego, nagle zaczęła krzyczeć. - Niech nam żyje towarzysz generał i Niech się święci 1 maja! Zróbmy szpaler dla towarzysza- generała ! Idzie! idzie! Wojciech Jaruzelski, ubrany po cywilnemu, złożył kwiaty. Było ""Sto lat"", brawa i łzy. Chętni mogli wsiąść do autokarów i przejechać na ulicę Rozbrat, gdzie w swojej siedzibie SdRP zorganizowała festyn. Uczestniczyli w nim gen. Jaruzelski, Mieczysław Rakowski, Włodzimierz Cimoszewicz, Alfred Miodowicz.
> Pochód z 1990 opisany jest jako *najliczniejszy w Europie Środkowej*. Organizowało go OPZZ we współpracy z SdRP, kilkoma PPS-ami, anarchistami i mieszkańcami Warszawy.
Jak co roku, na trasie przemarszu pojawiła się kontrmanifestacja:
>Ze schodów kościoła św. Krzyża socjaldemokraci usłyszeli, że są mordercami. Krzyczano na nich ""Precz z komuną"" i ""Żydzi do Moskwy !"". Początek pochodu domagał się poprawy warunków pracy i życia. Środek i koniec swoje myśli artykułował wyraźnie: ""Precz z Wałęsą"", ""Wałęsa do kaplicy"" i - co ciekawe - ""Precz z UB!"". Obserwatorzy marszu usłyszeli od socjaldemokratów, że są ""SS-manami i s...synami"" [[@PRZESWIECONY1MAJA1991]]",PL_1990-2019.md
