rok,liczba_wydarzen,typy,liczba_demonstracji,liczba_upamietnien,liczba_festynow,czy_kontra,demonstracje_piesze,korso,liczba_rewolucyjnych,marsz_gwiazdzisty,liczba_zwiazkowych,liczba_prawicowych,liczba_kontra,liczba_wiecow,liczba_happeningow,liczba_spotkan,liczba_koncertow,liczba_poza_centrum,liczba_dzielnicowych,dzielnicowe_kronika,frekwencja_suma,frekwencja_maj1,frekwencja_walpurgis,frekwencja_npd_kontra,frekwencja_zwiazkowa,udzial_zwiazkowy,liczba_aktorow,aktorzy_nowi,aktorzy_znikajacy,wydarzenia_nowe,wydarzenia_znikajace,miejsce_wiecu,miejsce_wiecu_zmienione,trasa_glowna_zmieniona,notatka,frekwencja_anarchi,frekwencja_fest_eu,frekwencja_lew_alt,frekwencja_opzz,frekwencja_parada,frekwencja_pps,frekwencja_prawica
1999,9,demonstracja:2;festyn:1;kontra:2;upamiętnienie:4,2,4,1,TRUE,2,0,0,FALSE,1,2,2,0,0,0,0,2,0,0,9350,9350,,,9200,0.984,7,Liga Republikańska,Młodzi demokraci;Solidarność,1999_PL_kontra_Liga-Republikanska,1998_PL_demonstracja_Solidarnosc;1998_PL_happening_M-odzi-demokraci-Niebieska-Alternatywa-Kapitalizm-jest-li,plac Grzybowski,FALSE,,obsidian://open?vault=Wszystko&file=1999_PL,,,,9200,,150,
2000,10,demonstracja:2;festyn:1;happening:1;kontra:1;upamiętnienie:4;wiec:1,2,4,1,TRUE,2,0,0,FALSE,1,2,2,1,1,0,0,2,0,0,2450,2400,,50,2250,0.918,7,,,2000_PL_happening_Liga-Republikanska;2000_PL_wiec_PPS-Pomnik-Kopernika,1999_PL_kontra_Liga-Republikanska,plac Grzybowski,FALSE,TRUE,obsidian://open?vault=Wszystko&file=2000_PL,,,,2250,,150,50
2001,9,demonstracja:4;festyn:1;kontra:1;upamiętnienie:3,4,3,1,TRUE,4,0,0,FALSE,1,1,1,0,0,0,0,1,0,0,8150,8150,,,7500,0.92,7,Anarchiści;Parada Równości,Liga Republikańska;SLD_OPZZ,2001_PL_demonstracja_Anarchisci;2001_PL_demonstracja_Parada-Rownosci,2000_PL_happening_Liga-Republikanska;2000_PL_upamiętnienie_SLD-OPZZ-Brama-Stracen;2000_PL_wiec_PPS-Pomnik-Kopernika,plac Grzybowski,FALSE,FALSE,obsidian://open?vault=Wszystko&file=2001_PL,300,,,7500,200,150,
2002,8,demonstracja:3;festyn:1;kontra:2;upamiętnienie:2,3,2,1,TRUE,3,0,0,FALSE,1,2,2,0,0,0,0,1,0,0,3800,3800,,,2100,0.553,7,"KPN;Koliber, Młodzież Wszechpolska, Organizacja Młodej Polski",Anarchiści;Prawica,2002_PL_kontra_KPN;2002_PL_kontra_Koliber-M-odziez-Wszechpolska-Organizacja-M-odej-Polski,2001_PL_demonstracja_Anarchisci;2001_PL_kontra_Prawica,Sejm RP,TRUE,TRUE,obsidian://open?vault=Wszystko&file=2002_PL,,,200,2100,1500,,
2003,9,demonstracja:5;festyn:1;kontra:1;upamiętnienie:2,5,2,1,TRUE,5,0,0,FALSE,1,1,1,0,0,0,0,1,0,0,7633,7633,,,3333,0.437,9,Anarchiści;Inicjatywa Stop Wojnie;Nowa Lewica + Inicjatywa Stop Wojnie;Prawica,"KPN;Koliber, Młodzież Wszechpolska, Organizacja Młodej Polski",2003_PL_demonstracja_Anarchisci;2003_PL_demonstracja_Inicjatywa-Stop-Wojnie;2003_PL_demonstracja_Nowa-Lewica-Inicjatywa-Stop-Wojnie;2003_PL_kontra_Prawica,2002_PL_demonstracja_PPS;2002_PL_kontra_KPN;2002_PL_kontra_Koliber-M-odziez-Wszechpolska-Organizacja-M-odej-Polski,Sejm RP,FALSE,TRUE,obsidian://open?vault=Wszystko&file=2003_PL,300,,500,3333,3500,,
2004,6,demonstracja:3;festyn:1;upamiętnienie:2,3,2,1,FALSE,3,0,0,FALSE,1,1,0,0,0,0,0,1,0,0,2867,867,,2000,667,0.233,6,LPR;Nowa Lewica,Anarchiści;Inicjatywa Stop Wojnie;Nowa Lewica + Inicjatywa Stop Wojnie;Parada Równości;Prawica,2004_PL_demonstracja_LPR;2004_PL_demonstracja_Nowa-Lewica,2003_PL_demonstracja_Anarchisci;2003_PL_demonstracja_Inicjatywa-Stop-Wojnie;2003_PL_demonstracja_Nowa-Lewica-Inicjatywa-Stop-Wojnie;2003_PL_demonstracja_Parada-Rownosci;2003_PL_kontra_Prawica,Sejm RP,FALSE,TRUE,obsidian://open?vault=Wszystko&file=2004_PL,,,200,667,,,2000
2005,7,demonstracja:2;festyn:2;upamiętnienie:3,2,3,2,FALSE,2,0,0,FALSE,1,0,0,0,0,0,0,1,0,0,933,933,,,633,0.678,6,Lewica_radykalna,LPR,2005_PL_festyn_Lewica-radykalna,2004_PL_demonstracja_LPR,Sejm RP,FALSE,TRUE,obsidian://open?vault=Wszystko&file=2005_PL,,,300,633,,,
2006,5,demonstracja:2;upamiętnienie:3,2,3,0,FALSE,2,0,0,FALSE,1,0,0,0,0,0,0,1,0,0,2000,2000,,,1750,0.875,4,SLD_OPZZ,Lewica_radykalna;PPS;Prezydent,2006_PL_upamiętnienie_Nowa-Lewica-Kamien-Pamiatkowy-na-Placu-Grzybowskim;2006_PL_upamiętnienie_SLD-OPZZ-Kamien-Pamiatkowy-na-Placu-Grzybowskim,2005_PL_festyn_Lewica-radykalna;2005_PL_festyn_Prezydent;2005_PL_upamiętnienie_PPS-Kamien-Pamiatkowy-na-Placu-Grzybowskim,Sejm RP,FALSE,TRUE,obsidian://open?vault=Wszystko&file=2006_PL,,,250,1750,,,
2007,10,demonstracja:4;festyn:1;happening:1;kontra:1;upamiętnienie:3,4,3,1,TRUE,3,0,0,FALSE,2,2,2,0,1,0,0,2,0,0,1780,1780,,,1400,0.787,9,Anarchiści;Forum Liberalne;LPR;Lewica radykalna;PPS;Solidarność,SLD_OPZZ,2007_PL_demonstracja_Anarchisci;2007_PL_demonstracja_Solidarnosc;2007_PL_happening_Forum-Liberalne;2007_PL_kontra_LPR;2007_PL_upamiętnienie_Lewica-radykalna-Kamien-Pamiatkowy-na-Placu-Grzybowskim;2007_PL_upamiętnienie_PPS-Kamien-Pamiatkowy-na-Placu-Grzybowskim,2006_PL_upamiętnienie_Nowa-Lewica-Kamien-Pamiatkowy-na-Placu-Grzybowskim;2006_PL_upamiętnienie_SLD-OPZZ-Kamien-Pamiatkowy-na-Placu-Grzybowskim,Sejm RP,FALSE,TRUE,obsidian://open?vault=Wszystko&file=2007_PL,80,,300,1400,,,
2008,8,demonstracja:3;festyn:1;upamiętnienie:3;wiec:1,3,3,1,FALSE,3,0,0,FALSE,1,0,0,1,0,0,0,2,0,0,2567,2567,,,2167,0.844,6,Lewica_radykalna,Forum Liberalne;LPR;Lewica radykalna;Solidarność,2008_PL_wiec_Lewica-radykalna,2007_PL_demonstracja_Solidarnosc;2007_PL_happening_Forum-Liberalne;2007_PL_kontra_LPR;2007_PL_upamiętnienie_Lewica-radykalna-Kamien-Pamiatkowy-na-Placu-Grzybowskim,Sejm RP,FALSE,TRUE,obsidian://open?vault=Wszystko&file=2008_PL,200,,200,2167,,,
