# Pliki, w ktorych nie ma nigdzie daty -- rok ustalony recznie i skad.
# parse_nd.py bierze go stad, zamiast zglaszac "brak roku" przy kazdym przebiegu.
plik	rok	skad
files/29463/maifeierlichkeiten-mit-der-linken-berlin.html	2019	ustalil Pawel; obsada mowcow zgadza sie z pozostalymi zrodlami 2019
files/29461/erster-mai.html	2026	Ines Schwerdtner jako przewodniczaca Die Linke, Merz jako kanclerz, Elif Eralp jako kandydatka na wybory do Abgeordnetenhausu
